Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,MIL,122,121,122.1,121.1,99.9,0.109,0.396,0.576,41.6,47.9,8,10.9,0.564,5.4,19.6,0.079,0.589,14,71.1,0.167
12/25/2020,,BRK,95,123,99.8,129.2,95.2,0.194,0.276,0.447,52.2,62.2,6.3,10.6,0.418,12.4,37,0.133,0.638,14.3,75,0.342
12/27/2020,@,IND,107,108,106.6,107.6,100.3,0.304,0.291,0.597,51.9,52.5,13,11.3,0.563,16.7,17.1,0.228,0.551,14.5,81,0.125
12/29/2020,@,IND,116,111,118.1,113,98.3,0.463,0.275,0.602,54.4,52.5,10.2,5.9,0.556,12.7,27.3,0.338,0.583,13.3,88.6,0.155
12/30/2020,,MEM,126,107,120.2,102.1,104.8,0.154,0.429,0.648,47.7,55.1,16.2,18.3,0.626,14.1,23.8,0.132,0.478,17.5,69.6,0.194
1/1/2021,@,DET,93,96,92.4,95.4,100.7,0.169,0.373,0.522,47.8,51.3,11.9,20.4,0.518,17.6,16.3,0.084,0.472,16.4,75.5,0.148
1/3/2021,@,DET,122,120,128,125.9,95.3,0.149,0.379,0.658,55.4,71.4,4.2,10,0.649,15.5,32.4,0.103,0.57,8.5,78.4,0.256
1/4/2021,@,TOR,126,114,120.3,108.9,104.7,0.405,0.345,0.637,60.2,46.3,2.9,17,0.577,16.1,29.3,0.345,0.472,8.6,84.6,0.322
1/6/2021,@,MIA,107,105,115.9,113.8,92.3,0.121,0.354,0.513,55.8,52.4,7.6,11.1,0.485,6.3,30.8,0.111,0.512,8,86,0.272
1/8/2021,,WAS,116,107,110.5,101.9,105,0.349,0.372,0.585,56.3,51.2,10.5,6.8,0.547,17.5,26.2,0.256,0.528,15.2,84.4,0.159
1/15/2021,,ORL,124,97,127,99.3,97.6,0.216,0.477,0.643,49.5,55.6,7.2,6.1,0.608,9.4,16.2,0.193,0.441,9.6,72.2,0.149
1/17/2021,,NYK,75,105,79,110.5,95,0.345,0.548,0.388,44.8,60,10.5,4.1,0.339,14.9,24.6,0.214,0.55,15.2,74.4,0.213
1/20/2021,@,PHI,109,117,112,120.2,97.3,0.225,0.371,0.557,52.3,52.4,3.1,0,0.539,14.1,25,0.146,0.519,8.4,76.1,0.462
1/22/2021,@,PHI,110,122,112.9,125.2,97.5,0.222,0.333,0.557,41.6,56.1,10.3,9.4,0.522,10,22.2,0.178,0.63,17.2,68.8,0.247
1/24/2021,,CLE,141,103,136.1,99.4,103.6,0.29,0.301,0.672,61.8,50,13.5,15.4,0.634,12.5,36.1,0.247,0.459,14.5,79.2,0.294
1/25/2021,@,CHI,119,103,118.9,102.9,100.1,0.23,0.333,0.621,51.8,63.6,9,12.2,0.592,11.1,15.8,0.184,0.563,16.3,80.9,0.045
1/27/2021,@,SAS,106,110,108.4,112.5,97.8,0.143,0.306,0.509,45.9,35.7,10.2,7.4,0.48,8.8,26,0.122,0.61,17.6,74.3,0.122
1/30/2021,,LAL,95,96,103.2,104.3,92.1,0.171,0.256,0.539,48.3,60,10.9,11.3,0.524,14.5,22,0.11,0.494,13.2,71.7,0.155
2/2/2021,@,GSW,111,107,115.1,111,96.4,0.321,0.405,0.579,58.6,41,3.1,8.7,0.542,13.5,28.6,0.238,0.548,10.6,86.7,0.193
2/3/2021,@,SAC,111,116,113.9,119,97.5,0.337,0.384,0.562,50.6,71.8,9.2,5.5,0.517,11.6,25.6,0.256,0.527,8.9,73.9,0.207
2/5/2021,@,LAC,119,115,126.6,122.3,94,0.233,0.422,0.6,42,48.8,8.5,2,0.567,5.7,19.6,0.189,0.605,15.1,71.4,0.21
2/7/2021,@,PHO,91,100,105.1,115.5,86.6,0.129,0.473,0.463,45.1,57.6,6.9,3.8,0.446,4.8,24.1,0.086,0.537,10.3,75.7,0.146
2/9/2021,@,UTA,108,122,119.5,135,90.4,0.267,0.337,0.562,46.1,47.4,2.2,5.6,0.517,7.7,26.2,0.221,0.583,9.4,70.6,0.286
2/11/2021,,TOR,120,106,120.7,106.6,99.4,0.326,0.453,0.61,60.5,76.9,8,10.9,0.57,15.5,32.6,0.256,0.548,12.5,92.1,0.181
2/12/2021,,DET,102,108,105.9,112.1,96.3,0.366,0.329,0.536,50,41.7,9.3,4.9,0.488,9.5,15.6,0.268,0.525,11.5,86,0.316
2/14/2021,@,WAS,91,104,87.9,100.5,103.5,0.333,0.389,0.441,48.1,43.8,4.8,3.8,0.406,14.1,23.7,0.2,0.44,13.9,80,0.373
2/16/2021,,DEN,112,99,116.7,103.2,96,0.259,0.519,0.621,53.1,66.7,7.3,2,0.574,18.1,27,0.235,0.506,15.8,75,0.167
2/17/2021,,ATL,114,122,117.3,125.5,97.2,0.314,0.36,0.582,50,55,9.3,5.7,0.523,14,27.5,0.279,0.623,13.4,76.5,0.338
2/19/2021,,ATL,121,109,121.3,109.3,99.8,0.111,0.389,0.641,51.8,52,8,20,0.633,16,24.3,0.078,0.478,11.4,72.9,0.256
2/21/2021,@,NOP,115,120,106.3,110.9,98,0.347,0.378,0.509,48.5,56.4,8.3,19,0.449,8.1,21.6,0.276,0.505,10.5,76,0.266
2/23/2021,@,DAL,107,110,114.5,117.7,93.4,0.209,0.453,0.57,54.8,46.3,6.4,10.7,0.547,12.2,28.6,0.151,0.545,8.6,81,0.146
2/24/2021,@,ATL,112,127,118.1,134,94.8,0.242,0.326,0.533,44.4,47.6,10.5,14,0.484,5.4,26.7,0.211,0.665,15.5,66.7,0.165
2/26/2021,,IND,118,112,120.7,114.6,97.7,0.354,0.268,0.623,52.9,57.1,3.1,14,0.567,10.4,17.9,0.305,0.478,7.3,82.6,0.303
2/28/2021,,WAS,111,110,109.6,108.6,101.3,0.27,0.337,0.557,57.6,59.5,6.9,0,0.528,15.3,31,0.191,0.506,12.6,83.7,0.298
3/2/2021,,LAC,117,112,134.6,128.9,86.9,0.267,0.372,0.609,55.1,59.5,6.9,8.2,0.581,7.7,35.9,0.198,0.598,9,74.4,0.092
3/4/2021,,TOR,132,125,134.1,127,98.4,0.541,0.392,0.721,58.2,55.6,6.1,17.1,0.696,14.9,31,0.392,0.61,11.7,78.9,0.154
3/11/2021,@,BRK,109,121,112,124.3,97.3,0.242,0.44,0.541,46.4,53.7,10.3,21.7,0.522,9.8,24.4,0.154,0.585,12.5,71.8,0.205
3/14/2021,@,HOU,134,107,130.1,103.9,103,0.228,0.402,0.662,59.8,56.9,7.8,7.3,0.652,12.1,27,0.152,0.473,9.5,81.8,0.231
3/16/2021,,UTA,109,117,117.1,125.7,93.1,0.041,0.296,0.546,54.2,58.3,8.6,13.5,0.541,11.5,36.4,0.031,0.594,14.2,74.4,0.275
3/17/2021,@,CLE,110,117,115.9,123.3,94.9,0.33,0.432,0.546,50,47.5,10.5,17.6,0.511,10.6,31.3,0.227,0.608,14.5,78.1,0.365
3/19/2021,,SAC,96,107,102.7,114.5,93.5,0.077,0.341,0.51,50,56.4,8.6,7.8,0.495,13,26.1,0.066,0.531,13.2,75,0.259
3/21/2021,,ORL,112,96,122.1,104.7,91.7,0.102,0.625,0.609,50.6,67.5,6.5,6,0.585,8.9,16.7,0.102,0.446,5.8,80.9,0.25
3/22/2021,@,MEM,126,132,117.8,123.4,96.9,0.267,0.389,0.626,44.3,66,2.8,8,0.617,10.7,11.9,0.167,0.555,7.9,69.1,0.091
3/24/2021,@,MIL,119,121,120.3,122.3,98.9,0.106,0.5,0.605,45.2,53.3,9.1,11.3,0.58,10.9,21.4,0.106,0.594,13.9,69,0.156
3/26/2021,@,MIL,122,114,121.8,113.8,100.1,0.182,0.534,0.642,47.3,62.8,10,15.4,0.614,12.8,19.5,0.159,0.54,13.4,69.2,0.071
3/27/2021,@,OKC,111,94,110.5,93.5,100.5,0.146,0.396,0.543,51,50,10,8.9,0.521,10.5,20,0.115,0.476,14.6,80.8,0.181
3/29/2021,,NOP,109,115,108.5,114.5,100.5,0.204,0.462,0.538,49.5,52.5,5,17.6,0.505,12.1,23.5,0.161,0.598,12.8,81,0.207
3/31/2021,,DAL,108,113,108,113,100,0.245,0.5,0.519,45.6,51.3,11,5.3,0.473,8,17,0.202,0.617,15.4,87.5,0.234
