Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,CLE,114,121,112.3,119.2,101.5,0.167,0.489,0.59,39,64.4,9.8,7,0.589,13.4,16.7,0.089,0.609,15.8,70.6,0.172
12/26/2020,,OKC,107,109,102.8,104.7,104.1,0.344,0.344,0.5,46.5,73,10.6,15.4,0.468,10.8,22.4,0.215,0.511,14,79.1,0.216
12/27/2020,,BRK,106,104,103.3,101.4,102.6,0.177,0.354,0.512,53.1,81.4,7.8,8.6,0.5,10.4,24.5,0.104,0.53,17,86.7,0.207
12/30/2020,@,DAL,118,99,117.2,98.4,100.6,0.25,0.405,0.633,56.2,69.8,6,13.3,0.601,19.8,31.6,0.202,0.46,12.1,74.5,0.218
1/1/2021,,MEM,93,108,93.9,109.1,99,0.244,0.36,0.488,46.7,65.7,9.1,7.8,0.459,15.9,20.8,0.163,0.556,13.7,76.2,0.089
1/2/2021,@,PHI,112,127,111.3,126.3,100.6,0.283,0.38,0.541,47.1,89.5,14.9,11.4,0.484,10.4,26.9,0.25,0.696,19,78.8,0.215
1/4/2021,@,PHI,101,118,99.8,116.6,101.2,0.256,0.453,0.528,46.1,83.3,4,6.3,0.494,14.3,16.3,0.186,0.542,8.7,73.6,0.158
1/6/2021,@,ATL,102,94,101.8,93.9,100.2,0.388,0.424,0.512,46.2,68.8,11,12.5,0.441,8.3,15.1,0.318,0.411,11.1,77.4,0.156
1/8/2021,@,NOP,118,110,125.6,117.1,94,0.287,0.483,0.602,55.6,80.5,10.6,10.3,0.563,12.5,38.1,0.23,0.591,17.7,74.4,0.247
1/9/2021,,ATL,113,105,119,110.5,95,0.312,0.429,0.645,46.6,67.5,11.6,15.9,0.617,14.6,16.7,0.234,0.461,12.1,67.3,0.258
1/11/2021,,NYK,109,88,120.1,96.9,90.8,0.295,0.41,0.618,43,73.7,8.8,16,0.571,10.2,13.5,0.256,0.443,14.5,65.3,0.126
1/13/2021,,DAL,93,104,94.9,106.1,98,0.14,0.38,0.438,49.5,68.4,8.2,14,0.43,9.4,26.8,0.07,0.495,8.8,74.5,0.094
1/14/2021,@,TOR,108,111,114.9,118.1,94,0.138,0.402,0.585,52.4,76.2,11.7,13.2,0.569,16.3,34.1,0.103,0.568,15.4,69.8,0.125
1/16/2021,@,TOR,113,116,111.8,114.7,101.1,0.333,0.414,0.566,52.7,68.4,5.9,13.5,0.523,12.3,25,0.253,0.541,13.3,83.7,0.267
1/22/2021,,CHI,110,123,109.1,122,100.8,0.294,0.376,0.573,51.7,52.4,7.9,1.9,0.535,17.9,30,0.224,0.589,12.1,69.4,0.104
1/24/2021,@,ORL,107,104,112.5,109.3,95.1,0.182,0.409,0.563,50,66.7,10.5,10.2,0.557,11.2,22,0.102,0.546,13.9,75.6,0.103
1/25/2021,@,ORL,108,117,107.2,116.1,100.8,0.303,0.427,0.535,45.6,56.4,5,11.8,0.5,12.2,22,0.213,0.585,13.3,75,0.159
1/27/2021,,IND,106,116,112.8,123.4,94,0.233,0.422,0.534,45.3,75.7,3.2,6.3,0.483,10,23.4,0.211,0.602,11.4,71.8,0.114
1/29/2021,,IND,108,105,111.9,108.7,96.6,0.106,0.435,0.607,51.9,81.4,7.2,9.6,0.6,16,23.1,0.071,0.546,14.7,78.6,0.115
1/30/2021,,MIL,126,114,126.6,114.5,99.5,0.217,0.478,0.625,47.1,72.7,8,13.5,0.592,8.2,15.6,0.185,0.598,13.9,81,0.195
2/1/2021,@,MIA,129,121,125.4,117.7,93.1,0.274,0.432,0.606,47.8,72.1,5.8,8.9,0.563,9.4,25.5,0.232,0.577,12.8,75.6,0.176
2/3/2021,,PHI,111,118,112,119.1,99.1,0.264,0.425,0.571,48.1,71.8,5,7.3,0.529,14.1,25,0.218,0.582,16.2,73,0.329
2/5/2021,,UTA,121,138,118.6,135.3,102,0.163,0.337,0.543,47.6,54.2,8.8,5.4,0.514,5.9,26.9,0.135,0.701,14.4,81.3,0.184
2/7/2021,,WAS,119,97,118,96.2,100.9,0.263,0.364,0.539,55.1,50,5.9,12,0.5,9.1,33.3,0.202,0.428,12,77.4,0.222
2/8/2021,,HOU,119,94,124.9,98.6,95.3,0.144,0.456,0.622,56.7,63.6,5.2,15.4,0.594,12.8,26.2,0.133,0.483,10.6,83.3,0.128
2/10/2021,@,MEM,114,130,118.6,135.3,96.1,0.146,0.354,0.653,43.2,51.1,11.4,8.9,0.634,17.1,22.9,0.122,0.622,13.6,58.7,0.138
2/12/2021,,MIN,120,114,116.2,110.4,103.2,0.211,0.4,0.61,57.9,45.5,3.9,5.2,0.561,16.9,27.9,0.211,0.535,7.1,82.7,0.081
2/14/2021,,SAS,110,122,108.5,120.3,101.4,0.116,0.358,0.551,53.3,51.1,5.9,9.7,0.537,13.8,26.7,0.084,0.552,7.9,78.7,0.167
2/20/2021,,GSW,102,100,105.1,103,97.1,0.12,0.533,0.646,53,62.2,7.2,4.3,0.627,23.3,11.8,0.107,0.512,13.1,81.6,0.153
2/22/2021,@,UTA,110,132,105.6,126.7,104.1,0.236,0.404,0.56,43.8,43.9,12.5,6.7,0.522,14,17.8,0.191,0.694,19.2,77.1,0.165
2/24/2021,@,PHO,124,121,120.3,117.4,103.1,0.307,0.409,0.621,52.9,55.8,7.8,10.2,0.563,11.5,20.9,0.284,0.586,12.4,84.1,0.218
2/26/2021,@,GSW,121,130,112.7,121.1,107.4,0.36,0.461,0.587,50.7,65.9,10.2,1.8,0.556,16.2,28.3,0.247,0.677,20.4,86.2,0.291
2/28/2021,@,SAC,127,126,127.6,126.6,99.5,0.325,0.361,0.669,52.9,66.7,3,10.7,0.608,14.4,22.6,0.313,0.63,9.1,76.9,0.109
3/1/2021,@,POR,111,123,115.1,127.6,96.4,0.193,0.386,0.581,49.3,58.1,12.4,12.5,0.574,14.4,26.8,0.114,0.674,14.2,76.5,0.081
3/3/2021,@,MIN,135,102,124.1,93.8,108.8,0.214,0.398,0.629,54.5,64.7,12.9,12.5,0.607,13.7,28.3,0.163,0.453,15.5,77.4,0.156
3/11/2021,,DET,105,102,112.3,109.1,93.5,0.267,0.333,0.522,47.4,72.2,9.6,7.7,0.456,8.2,23.5,0.256,0.535,13.3,75,0.129
3/13/2021,,TOR,114,104,107.8,98.3,105.8,0.235,0.605,0.638,52,76.9,9.5,12,0.611,23.2,19,0.185,0.464,13.3,76.8,0.156
