Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,CHO,121,114,119.2,112.3,101.5,0.23,0.345,0.632,61,73.9,11.8,6.5,0.609,15.8,29.4,0.172,0.589,13.4,83.3,0.089
12/26/2020,@,DET,128,119,105.2,97.8,100.6,0.303,0.303,0.57,47.2,60.4,10.7,7.5,0.551,13.8,13,0.192,0.49,16.4,81.5,0.235
12/27/2020,,PHI,118,94,117.5,93.6,100.4,0.176,0.253,0.602,53.6,64.6,12.9,14.3,0.577,14,26.2,0.143,0.494,19.1,81,0.203
12/29/2020,,NYK,86,95,89.9,99.3,95.6,0.25,0.364,0.44,43.9,68.8,13.6,18.5,0.403,11.7,25.5,0.17,0.519,22.1,67.4,0.165
12/31/2020,@,IND,99,119,99.9,120.1,99.1,0.293,0.28,0.535,49.4,59.5,5,11.5,0.524,16.3,23.9,0.159,0.575,12.5,78,0.218
1/2/2021,@,ATL,96,91,100.9,95.7,95.1,0.187,0.319,0.487,48.9,50,10.5,3.8,0.456,13.2,31.3,0.143,0.476,17.6,67.4,0.118
1/4/2021,@,ORL,83,103,90.7,112.6,91.5,0.141,0.329,0.46,39.3,60.6,13.1,7.4,0.447,13.4,20,0.082,0.517,16.9,59.1,0.136
1/6/2021,@,ORL,94,105,101.3,113.1,92.8,0.306,0.306,0.487,51.1,66.7,9.7,7.7,0.447,9.4,27.1,0.212,0.568,14.4,80,0.16
1/7/2021,@,MEM,94,90,102.3,97.9,91.9,0.203,0.38,0.546,43.5,66.7,12,5.8,0.538,14.8,15.9,0.114,0.5,17.2,73.2,0.084
1/9/2021,@,MIL,90,100,96.7,107.5,93.1,0.184,0.299,0.479,51.1,44.4,6.4,8.3,0.454,13.8,29.2,0.126,0.512,14,75,0.167
1/11/2021,,MEM,91,101,97.3,108,93.6,0.171,0.317,0.516,50,54.1,11.8,12.1,0.518,16.2,23.3,0.073,0.545,14.7,81.1,0.205
1/12/2021,,UTA,87,117,93.3,125.5,93.2,0.156,0.344,0.452,45.5,65.7,7.5,10.3,0.433,11.1,24,0.1,0.643,15.2,73.7,0.107
1/15/2021,,NYK,106,103,113.8,110.6,93.2,0.43,0.342,0.564,55.2,72.2,9.7,10.5,0.513,13.8,30.4,0.316,0.543,11.9,82.9,0.171
1/20/2021,,BRK,147,135,125.1,114.9,97.3,0.193,0.367,0.622,49,51.8,8.5,9.2,0.606,10.6,23.5,0.138,0.524,12,74.5,0.226
1/22/2021,,BRK,125,113,129.1,116.7,96.8,0.368,0.287,0.618,63.3,53.3,7.2,6.8,0.563,10.6,36.1,0.31,0.563,10.4,86,0.172
1/24/2021,@,BOS,103,141,99.4,136.1,103.6,0.4,0.388,0.515,38.2,70.6,9.7,12.3,0.459,14.5,20.8,0.294,0.634,12.5,63.9,0.247
1/25/2021,,LAL,108,115,114.8,122.3,94.1,0.256,0.244,0.564,52.4,47.5,8.5,5.5,0.517,15.1,37.5,0.221,0.54,11.6,65.9,0.241
1/27/2021,,DET,122,107,120.1,105.4,101.6,0.264,0.241,0.628,48.1,51.1,13.8,12.7,0.603,14.1,22.9,0.195,0.518,18.8,69,0.268
1/29/2021,@,NYK,81,102,91.2,114.9,88.8,0.214,0.31,0.441,51.2,51.7,9,9.4,0.393,13.2,29.8,0.179,0.55,13,78.4,0.175
1/31/2021,@,MIN,104,109,105.3,110.3,98.8,0.274,0.19,0.552,61.8,48.8,3,5.9,0.512,16.8,27,0.214,0.538,7.6,86.5,0.121
2/1/2021,,MIN,100,98,106.8,104.7,93.6,0.369,0.262,0.512,53.6,74.3,4.3,18.8,0.458,11.7,33.3,0.274,0.446,7,71.2,0.069
2/3/2021,,LAC,99,121,106.7,130.4,92.8,0.185,0.109,0.498,44.6,51.2,8.6,13.3,0.467,7.4,22.4,0.141,0.684,13.9,76.5,0.165
2/5/2021,,MIL,105,123,102.9,120.6,102,0.174,0.348,0.53,40,56.1,6.9,12,0.505,10,12.8,0.13,0.552,9.3,69.8,0.165
2/6/2021,,MIL,99,124,101.5,127.1,97.5,0.244,0.326,0.52,48.2,53.8,4.1,1.9,0.488,12,17.8,0.174,0.64,7.7,84.2,0.163
2/8/2021,@,PHO,113,119,120.4,126.8,93.9,0.291,0.279,0.582,48.8,52.3,5.3,7.6,0.558,9.3,25,0.198,0.583,9.2,68.2,0.156
2/10/2021,@,DEN,95,133,95.9,134.2,99.1,0.213,0.394,0.462,55.7,69.4,7.1,14.3,0.426,14.2,34,0.16,0.694,10.5,88.6,0.176
2/12/2021,@,POR,110,129,108.9,127.7,101,0.425,0.264,0.533,47.7,52.6,5.9,6.3,0.483,9.6,21.7,0.299,0.596,12.6,77.5,0.361
2/14/2021,@,LAC,111,128,109.3,126,101.6,0.269,0.269,0.534,46,58.1,3.9,6.9,0.5,12.6,23.9,0.194,0.551,8.8,70.7,0.352
2/15/2021,@,GSW,98,129,95.3,125.5,102.8,0.211,0.316,0.472,55.7,51.4,9.7,5.9,0.432,14.1,30.6,0.168,0.619,12.6,87.2,0.227
2/19/2021,,DEN,103,120,108.9,126.8,94.6,0.253,0.373,0.558,47.9,76.9,8.5,8.2,0.542,16.3,29.5,0.157,0.669,14.6,77.8,0.163
2/21/2021,,OKC,101,117,106.8,123.7,94.6,0.238,0.417,0.544,53.2,56.4,9.5,7.8,0.512,13.9,30.4,0.179,0.627,13.5,84.8,0.228
2/23/2021,,ATL,112,111,120.7,119.6,92.8,0.244,0.359,0.648,46.8,68.3,7.5,17.2,0.622,14.8,20,0.192,0.528,10,69,0.191
2/24/2021,,HOU,112,96,119.9,102.7,93.4,0.176,0.424,0.611,62.5,55.8,4.3,17.5,0.6,14.9,31.4,0.118,0.456,6.7,83,0.156
2/27/2021,@,PHI,112,109,103.2,100.4,98.3,0.299,0.247,0.51,53.1,58.5,11.1,5.5,0.464,12.7,25.5,0.227,0.518,16.2,83,0.277
3/1/2021,@,HOU,101,90,106.5,94.9,94.8,0.329,0.411,0.604,61.5,63.9,7.4,13.3,0.562,18.5,18.8,0.26,0.474,13.9,91.3,0.237
3/3/2021,,IND,111,114,113.1,116.2,98.1,0.181,0.337,0.619,61.4,67.4,8.2,1.7,0.584,21.8,32.4,0.169,0.614,10.9,88.9,0.145
