Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,PHO,102,106,101.5,105.5,100.4,0.306,0.435,0.529,44.8,47.2,6,0,0.476,10.2,12.5,0.247,0.551,16.5,84.6,0.241
12/25/2020,@,LAL,115,138,116.3,139.5,98.9,0.313,0.386,0.609,33.8,48.8,13.1,5.8,0.572,8.7,7.7,0.241,0.665,13.6,58.5,0.187
12/27/2020,@,LAC,124,73,136.3,80.3,90.9,0.31,0.471,0.627,60,58.1,11,4.7,0.575,5.7,26.2,0.276,0.368,12.4,89.6,0.224
12/30/2020,,CHO,99,118,98.4,117.2,100.6,0.379,0.483,0.488,43.8,70.6,9.9,12,0.46,12.1,25.5,0.218,0.601,19.8,68.4,0.202
1/1/2021,,MIA,93,83,95.4,85.1,97.5,0.295,0.474,0.528,54.4,56.3,9.2,6.7,0.487,15.4,10,0.218,0.417,13.6,90,0.231
1/3/2021,@,CHI,108,118,106.8,116.6,101.2,0.303,0.472,0.535,46.1,59,5.9,8.3,0.5,12.9,22.9,0.213,0.535,14,73.2,0.318
1/4/2021,@,HOU,113,100,119.6,105.8,94.5,0.244,0.476,0.622,59.3,61.5,4.2,8.1,0.573,14.2,26.3,0.232,0.461,11.4,85.4,0.377
1/7/2021,@,DEN,124,117,117,110.4,96,0.356,0.46,0.616,48.4,64.3,11.3,13.2,0.575,11.4,15.6,0.276,0.521,10.9,80.4,0.165
1/9/2021,,ORL,112,98,116.6,102.1,96,0.228,0.506,0.644,50.6,64.1,5.2,13.8,0.62,16.4,15.4,0.177,0.461,8.4,79.2,0.18
1/13/2021,@,CHO,104,93,106.1,94.9,98,0.167,0.479,0.505,50.5,55,8.2,19.4,0.495,8.8,25.5,0.094,0.43,9.4,73.2,0.07
1/15/2021,@,MIL,109,112,109.4,112.4,99.6,0.134,0.371,0.531,47.2,48.9,5,10.2,0.531,8.1,21.2,0.062,0.521,8.5,71.4,0.125
1/17/2021,,CHI,101,117,96.3,111.5,104.9,0.204,0.333,0.498,50,43.9,5.7,3.3,0.484,13.6,22.2,0.118,0.547,11.6,87.5,0.282
1/18/2021,@,TOR,93,116,94.2,117.5,98.7,0.329,0.439,0.495,45.2,67.7,6.1,7.3,0.433,14.6,17.8,0.268,0.568,12.7,76.9,0.182
1/20/2021,@,IND,124,112,122.9,111,100.9,0.175,0.278,0.593,56.3,62.7,5,11.3,0.567,7.1,23.1,0.144,0.533,9,83.3,0.152
1/22/2021,@,SAS,122,117,124.6,119.5,97.9,0.215,0.419,0.599,46.2,51.1,3.1,3.3,0.559,4.7,14.9,0.194,0.528,6.4,79.5,0.258
1/23/2021,,HOU,108,133,109.8,135.3,98.3,0.482,0.301,0.537,40.9,40.5,7.1,8.2,0.476,9,20.4,0.349,0.64,12.4,66.7,0.267
1/25/2021,,DEN,113,117,120.4,124.7,93.8,0.286,0.381,0.598,41,63.4,11.7,9.1,0.554,10.4,18.6,0.238,0.601,14.9,65,0.278
1/27/2021,@,UTA,104,116,107.9,120.4,96.4,0.099,0.385,0.548,41.9,52.4,4.2,14,0.527,7.8,9.3,0.088,0.549,8.2,74.4,0.176
1/29/2021,@,UTA,101,120,104.6,124.3,96.5,0.314,0.384,0.516,41.7,54.1,6.2,10.3,0.483,10.1,17,0.209,0.552,13.2,65.3,0.276
1/30/2021,,PHO,105,111,108.2,114.3,97.1,0.169,0.349,0.589,46.8,50,5.2,6.8,0.584,14.4,13.2,0.096,0.519,12.1,78,0.333
2/1/2021,,PHO,108,109,107.3,108.3,100.7,0.291,0.372,0.557,48.3,43.2,8.9,12.3,0.488,12.6,17.1,0.279,0.538,14.1,76.1,0.109
2/3/2021,@,ATL,122,116,124,117.9,98.4,0.269,0.43,0.587,49.5,62.8,8.1,13.5,0.532,8.8,28.3,0.247,0.578,14.1,71.1,0.133
2/4/2021,,GSW,116,147,114.2,144.7,101.6,0.25,0.543,0.568,48.3,68.4,2,6.5,0.522,8.9,19.6,0.217,0.697,7.3,88.9,0.258
2/6/2021,,GSW,134,132,128,126.1,104.7,0.313,0.49,0.614,54,61.4,4.8,0,0.568,11.4,30.6,0.26,0.651,14.3,84.2,0.233
2/8/2021,,MIN,127,122,123.4,118.5,102.9,0.345,0.391,0.634,53.9,66.7,3.9,12.2,0.586,12.3,22.7,0.287,0.56,8,84.4,0.22
2/10/2021,,ATL,118,117,122,121,96.7,0.238,0.417,0.636,46.8,58.1,3.1,6.1,0.595,8.8,10.8,0.214,0.534,8.2,78.6,0.261
2/12/2021,,NOP,143,130,146.7,133.4,97.5,0.239,0.511,0.735,49.3,58.8,4.1,3.8,0.722,5.8,14.7,0.182,0.628,8.2,78,0.189
2/14/2021,,POR,118,121,126.8,130,93.1,0.309,0.506,0.641,49.3,47.5,5.4,13.3,0.58,11.5,27.8,0.296,0.635,13.8,71.4,0.153
2/22/2021,,MEM,102,92,101.2,91.3,100.7,0.325,0.513,0.558,49,48.6,6,6.3,0.531,14.9,11.6,0.213,0.426,11.3,77.2,0.128
2/23/2021,,BOS,110,107,117.7,114.5,93.4,0.169,0.371,0.575,45.2,45.2,5.4,2.1,0.545,8.6,19,0.146,0.547,12.2,71.4,0.151
