Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,SAC,122,124,111.5,113.3,99.1,0.245,0.296,0.562,46,59.6,5.5,15.5,0.52,12.1,21.7,0.204,0.49,10.8,66.7,0.235
12/25/2020,,LAC,108,121,116.3,130.3,92.8,0.383,0.444,0.571,45.7,67.6,7.5,2.8,0.525,12.1,25.6,0.284,0.682,17.6,71,0.27
12/28/2020,,HOU,124,111,119.5,107,103.8,0.368,0.356,0.613,57.8,67.4,7.7,14.9,0.609,12.2,25,0.207,0.547,13.5,89.1,0.198
12/29/2020,@,SAC,115,125,116.1,126.2,99.1,0.247,0.346,0.64,51.3,61.4,7.1,8.2,0.611,17.5,21.9,0.198,0.574,8.8,72.7,0.181
1/1/2021,,PHO,103,106,111.3,114.5,92.6,0.186,0.337,0.554,50.7,71.8,7.6,2.4,0.523,10.6,21.6,0.151,0.572,16.6,78.9,0.25
1/3/2021,@,MIN,124,109,127.6,112.2,97.2,0.228,0.489,0.612,54.4,75.6,6.2,7.4,0.592,12.9,32.5,0.163,0.576,13.2,76.9,0.129
1/5/2021,,MIN,123,116,120.2,113.4,102.3,0.57,0.316,0.622,50,53.7,8.8,3.5,0.57,12.4,23.8,0.418,0.522,12,76.2,0.231
1/7/2021,,DAL,117,124,110.4,117,96,0.216,0.454,0.551,51.6,58.1,7.5,2.1,0.521,10.9,19.6,0.165,0.575,11.4,84.4,0.276
1/9/2021,@,PHI,115,103,118.8,106.4,96.8,0.167,0.367,0.595,48.4,62.2,11.4,10.3,0.567,15,34.9,0.144,0.471,13,60,0.058
1/10/2021,@,NYK,114,89,124.5,97.2,91.6,0.143,0.417,0.638,54.4,51.1,12,7.5,0.625,11.8,22.2,0.107,0.473,15.8,81.4,0.257
1/12/2021,@,BRK,116,122,121,127.2,95.9,0.182,0.42,0.61,43.8,63.6,12.5,10.6,0.602,12,21.4,0.114,0.709,17.4,74.2,0.127
1/14/2021,,GSW,114,104,110,100.3,103.7,0.3,0.411,0.559,53.8,70.7,10.6,9.6,0.517,11.3,20.8,0.233,0.537,17.2,88.9,0.21
1/17/2021,,UTA,105,109,117.2,121.7,89.6,0.15,0.37,0.492,59.1,62.5,6.7,15.4,0.47,7.8,44.2,0.11,0.612,12.8,80.6,0.211
1/19/2021,,OKC,119,101,115.4,97.9,103.1,0.133,0.4,0.535,58.6,63,10.7,7,0.505,11.2,36,0.124,0.5,16.5,81.6,0.174
