Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,CHI,124,104,119.4,100.1,103.9,0.363,0.438,0.668,55.4,55.8,5.8,5.8,0.625,18.5,21.6,0.3,0.46,13.1,82.6,0.276
12/26/2020,@,MEM,122,112,116.8,107.3,104.4,0.427,0.404,0.577,54,60.5,3.8,10,0.5,12.4,26,0.371,0.468,8.6,82,0.269
12/28/2020,,DET,128,120,130.8,122.7,97.8,0.39,0.512,0.666,48.4,75,5.1,12.3,0.61,11.9,20.5,0.341,0.505,6.9,68.5,0.214
12/30/2020,@,BRK,141,145,132.5,136.2,106.4,0.354,0.465,0.616,57.4,57.4,4.7,3.4,0.566,9.5,35.4,0.293,0.635,6.8,80.4,0.18
1/1/2021,@,BRK,114,96,117.2,98.7,97.3,0.151,0.419,0.575,51.6,55.8,8.2,6.1,0.548,8.3,22.2,0.129,0.448,13.5,79.2,0.221
1/2/2021,,CLE,91,96,95.7,100.9,95.1,0.224,0.376,0.487,51.1,62.9,9.5,8.1,0.476,17.6,32.6,0.118,0.456,13.2,68.8,0.143
1/4/2021,,NYK,108,113,110.9,116.1,97.4,0.264,0.356,0.556,47.1,60,4.1,3.1,0.517,11,22.7,0.207,0.547,13.5,73.2,0.235
1/6/2021,,CHO,94,102,93.9,101.8,100.2,0.188,0.417,0.452,53.8,69.4,6,2,0.411,11.1,22.6,0.156,0.441,8.3,84.9,0.318
1/9/2021,@,CHO,105,113,110.5,119,95,0.315,0.506,0.518,53.4,73.5,10.5,9.1,0.461,12.1,32.7,0.258,0.617,14.6,83.3,0.234
1/11/2021,,PHI,112,94,113.6,95.4,98.6,0.273,0.444,0.505,53.7,54.1,7.1,5.4,0.46,6.7,25.5,0.212,0.446,8.4,83,0.13
1/15/2021,@,UTA,92,116,89.2,112.5,103.1,0.163,0.304,0.467,43.6,55.3,5.8,2.1,0.44,13.2,16.3,0.12,0.576,16.2,73.3,0.109
1/16/2021,@,POR,106,112,105.3,111.3,100.6,0.322,0.345,0.534,46.6,63.2,4,10.2,0.471,11.6,15.6,0.276,0.461,5.9,70.7,0.165
1/18/2021,,MIN,108,97,103.2,92.7,104.7,0.316,0.354,0.6,55.2,86.5,14.3,14.8,0.538,21.1,18.9,0.291,0.473,15.5,82,0.121
1/20/2021,,DET,123,115,115.2,107.7,96.7,0.38,0.23,0.527,60,47.7,5.6,15.2,0.485,10,39.7,0.26,0.505,11,85.1,0.175
1/22/2021,@,MIN,116,98,118.2,99.8,98.2,0.361,0.422,0.603,57.9,55.3,9.2,19.7,0.548,14.3,30.2,0.301,0.473,11.7,80.8,0.108
1/24/2021,@,MIL,115,129,118.1,132.5,97.4,0.265,0.47,0.62,34.2,64.3,8.2,6.7,0.59,8.9,12.2,0.205,0.604,13.5,57.9,0.209
1/26/2021,,LAC,108,99,114.2,104.7,94.6,0.313,0.325,0.593,50,54.1,7.4,14.3,0.525,13.3,21.4,0.3,0.449,10.8,74,0.213
1/27/2021,,BRK,128,132,129.8,133.9,89.3,0.298,0.351,0.602,50.7,64.4,3,10.6,0.548,7.8,32.4,0.266,0.587,7.8,69.4,0.173
1/29/2021,@,WAS,116,100,117.9,101.7,98.4,0.391,0.425,0.569,50,41,5.1,7,0.517,11.3,26.1,0.299,0.406,10.6,72.9,0.365
2/1/2021,,LAL,99,107,106,114.6,93.4,0.218,0.372,0.579,53.7,73,8.6,5.6,0.545,16.6,18.2,0.179,0.565,11.2,88.2,0.26
2/3/2021,,DAL,116,122,117.9,124,98.4,0.189,0.422,0.595,50.5,68.9,6.1,7.5,0.578,14.1,28.9,0.133,0.532,8.8,71.7,0.247
2/4/2021,,UTA,91,112,95.4,117.4,95.4,0.194,0.316,0.428,48.5,59.4,8.4,1.6,0.372,9.4,31,0.184,0.555,12.6,72.1,0.121
2/6/2021,,TOR,132,121,131.3,120.3,100.5,0.446,0.486,0.746,53.1,73.8,1,16.9,0.696,16.9,14.3,0.392,0.49,5.1,73.6,0.268
2/10/2021,@,DAL,117,118,121,122,96.7,0.318,0.443,0.583,53.2,67.5,7.2,8.2,0.534,8.2,21.4,0.261,0.595,8.8,89.2,0.214
2/12/2021,,SAS,114,125,111.6,122.4,102.1,0.367,0.356,0.545,47.1,56.4,9.8,7.4,0.494,10.3,20.8,0.278,0.6,11.8,79.5,0.271
2/13/2021,,IND,113,125,111.8,123.7,101.1,0.256,0.344,0.564,46.9,81.4,4.9,6.9,0.528,9.9,16.3,0.2,0.573,8.2,81.6,0.258
2/15/2021,@,NYK,112,123,120.1,131.9,93.2,0.376,0.388,0.565,50,47.2,5.4,12.2,0.488,10,25.6,0.341,0.608,7.8,75.6,0.265
2/17/2021,@,BOS,122,114,125.5,117.3,97.2,0.403,0.312,0.673,50,43.2,8.2,3.6,0.623,13.4,23.5,0.338,0.523,14,72.5,0.279
2/19/2021,@,BOS,109,121,109.3,121.3,99.8,0.278,0.333,0.54,48.2,55.3,14,10.9,0.478,11.4,27.1,0.256,0.633,16,75.7,0.078
2/21/2021,,DEN,123,115,126.4,118.2,97.3,0.407,0.42,0.644,57.1,69,6.2,8.3,0.593,10.3,25,0.333,0.607,12.5,91.9,0.155
2/23/2021,@,CLE,111,112,119.6,120.7,92.8,0.258,0.348,0.56,53.2,55,10.8,8,0.528,10,31,0.191,0.622,14.8,80,0.192
2/24/2021,,BOS,127,112,134,118.1,94.8,0.2,0.494,0.687,55.6,60,4.2,7.8,0.665,15.5,33.3,0.165,0.484,5.4,73.3,0.211
2/26/2021,@,OKC,109,118,113.6,123,95.9,0.175,0.412,0.522,58.1,48.8,6.3,10.9,0.505,8.7,35.8,0.113,0.614,9.5,87.5,0.114
2/28/2021,@,MIA,99,109,104.6,115.1,94.7,0.253,0.402,0.512,52.1,61.1,12.7,12.2,0.46,14.2,32.7,0.218,0.517,12.8,73.3,0.233
3/2/2021,@,MIA,94,80,109.9,93.5,85.5,0.211,0.507,0.606,64.4,76.5,5.8,4.8,0.57,22.9,34.4,0.183,0.433,7.6,87.8,0.2
3/3/2021,@,ORL,115,112,120.4,117.2,95.5,0.224,0.529,0.616,47.7,68.4,7.3,10.2,0.571,11.4,14.3,0.212,0.506,9.4,78.3,0.321
3/11/2021,@,TOR,121,120,115.3,114.3,105,0.389,0.467,0.574,51.5,51.3,7.6,22,0.517,11.7,24.5,0.311,0.526,11.7,75.9,0.198
3/13/2021,,SAC,121,106,132.5,116.1,91.3,0.393,0.393,0.614,48.9,48.8,6.6,3.2,0.583,7.5,34.2,0.274,0.474,10.3,59.3,0.133
3/14/2021,,CLE,100,82,118.2,96.9,84.6,0.366,0.408,0.607,59,65.6,4.7,11.8,0.535,15.4,37.5,0.338,0.432,12.5,72.5,0.148
3/16/2021,@,HOU,119,107,127.4,114.6,93.4,0.186,0.43,0.64,50.7,72.7,8.6,11.1,0.61,11.4,25,0.163,0.551,12.2,74.4,0.114
3/18/2021,,OKC,116,93,119.5,95.8,97.1,0.149,0.379,0.626,56.8,55.3,6.2,11.9,0.603,13.1,18.2,0.126,0.435,8.3,80,0.129
3/20/2021,@,LAL,99,94,107.8,102.4,91.8,0.092,0.378,0.485,48.5,66.7,14.2,12.7,0.464,7.3,29.1,0.082,0.469,14.9,71.7,0.222
3/22/2021,@,LAC,110,119,119.5,129.3,92,0.168,0.358,0.539,52.2,48.8,3.3,6.4,0.516,6.4,29.4,0.126,0.594,7.9,80.5,0.212
3/24/2021,@,SAC,108,110,113.5,115.6,95.1,0.271,0.294,0.568,50,41.5,5.3,5.6,0.524,12,26.8,0.224,0.536,14.6,72.1,0.238
