Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/22/2020,,GSW,125,99,113.1,89.6,110.5,0.348,0.38,0.589,54.8,57.1,10,10.6,0.538,15.9,27.7,0.283,0.424,14.2,77.2,0.152
12/25/2020,@,BOS,123,95,129.2,99.8,95.2,0.408,0.382,0.686,47.8,51.2,5.3,14.1,0.638,14.3,25,0.342,0.418,12.4,63,0.133
12/27/2020,@,CHO,104,106,101.4,103.3,102.6,0.305,0.573,0.559,46.9,65.7,3.9,8.1,0.53,17,13.3,0.207,0.5,10.4,75.5,0.104
12/28/2020,,MEM,111,116,101.5,106,99.1,0.17,0.42,0.516,47.2,68.3,11.9,8.7,0.48,13.7,24.5,0.15,0.48,14.6,69.8,0.224
12/30/2020,,ATL,145,141,136.2,132.5,106.4,0.23,0.41,0.658,42.6,55.6,5.6,5.7,0.635,6.8,19.6,0.18,0.566,9.5,64.6,0.293
1/1/2021,,ATL,96,114,98.7,117.2,97.3,0.267,0.43,0.499,48.4,54.3,6.2,11.1,0.448,13.5,20.8,0.221,0.548,8.3,77.8,0.129
1/3/2021,,WAS,122,123,113,113.9,108,0.383,0.395,0.645,51,62.5,4.6,12.7,0.58,17.4,16.3,0.346,0.471,5.6,77.2,0.24
1/5/2021,,UTA,130,96,127.1,93.8,102.3,0.172,0.387,0.65,55.4,59.6,10.8,9.6,0.634,10.7,20,0.129,0.448,13.3,82.7,0.221
1/7/2021,,PHI,122,109,111.3,99.4,109.6,0.299,0.381,0.556,50.5,68.2,10,11.5,0.531,9.9,20.4,0.196,0.523,17.3,90.2,0.207
1/8/2021,@,MEM,110,115,106.5,111.4,103.3,0.259,0.383,0.609,47.7,68.4,5.8,6.1,0.556,18.1,10.5,0.247,0.526,10.3,76,0.122
1/10/2021,,OKC,116,129,111.6,124.1,103.9,0.282,0.4,0.607,55.8,53.5,2.9,3.9,0.565,15.1,16.2,0.235,0.628,9.3,92.5,0.178
1/12/2021,,DEN,122,116,127.2,121,95.9,0.19,0.405,0.713,56.2,64.6,6.3,11.8,0.709,17.4,25.8,0.127,0.602,12,78.6,0.114
1/13/2021,@,NYK,116,109,127.4,119.7,91.1,0.187,0.44,0.589,51.7,65.9,3.3,7.8,0.571,5.7,27.9,0.132,0.538,8.5,73.9,0.109
1/16/2021,,ORL,122,115,119,112.2,102.5,0.321,0.449,0.685,51.9,57.1,8.8,10.2,0.641,17.6,12.1,0.282,0.537,10.5,80.4,0.137
1/18/2021,,MIL,125,123,120.1,118.2,104.1,0.25,0.369,0.67,54.4,56.5,1.9,7.5,0.637,15.4,18.9,0.214,0.49,4.1,79.2,0.19
1/20/2021,@,CLE,135,147,114.9,125.1,97.3,0.255,0.387,0.573,51,62.5,6.8,15.9,0.524,12,25.5,0.226,0.606,10.6,76.5,0.138
1/22/2021,@,CLE,113,125,116.7,129.1,96.8,0.195,0.494,0.598,36.7,54.8,5.2,12.9,0.563,10.4,14,0.172,0.563,10.6,63.9,0.31
1/23/2021,,MIA,128,124,123.8,119.9,103.4,0.313,0.446,0.678,60.3,77.3,0,14,0.645,14.5,23.7,0.253,0.545,7.2,95,0.303
1/25/2021,,MIA,98,85,104.8,90.9,93.5,0.259,0.447,0.518,52.1,70.6,6.4,12.2,0.465,6.9,14,0.224,0.435,11.6,84.3,0.143
1/27/2021,@,ATL,132,128,133.9,129.8,89.3,0.204,0.327,0.618,49.3,55.8,7.1,16.4,0.587,7.8,30.6,0.173,0.548,7.8,67.6,0.266
1/29/2021,@,OKC,147,125,139.3,118.4,105.5,0.16,0.45,0.687,58.1,57.9,6.6,8.3,0.665,9.3,25,0.14,0.558,10.6,87,0.337
1/31/2021,@,WAS,146,149,129.6,132.2,112.7,0.375,0.409,0.712,53.6,66,5.3,7.2,0.676,14.2,20,0.307,0.574,5.4,77.6,0.231
2/2/2021,,LAC,124,120,124.1,120.1,99.9,0.329,0.392,0.686,53,55.6,6,6.3,0.652,15,17.6,0.266,0.53,7,77.6,0.152
2/5/2021,,TOR,117,123,117.8,123.8,99.4,0.363,0.525,0.631,49.4,74.4,5,9.2,0.594,16.3,21.6,0.275,0.572,8.8,72.7,0.124
2/6/2021,@,PHI,108,124,105.8,121.5,102,0.193,0.466,0.566,40,53.8,5.9,4.5,0.528,15.1,17.4,0.17,0.564,12.6,66.7,0.191
2/9/2021,@,DET,111,122,114,125.3,97.4,0.186,0.349,0.597,47.9,69.8,8.2,10.9,0.564,13.9,21.1,0.163,0.637,12.2,78.8,0.179
2/10/2021,,IND,104,94,113.3,102.4,91.8,0.461,0.408,0.569,51.7,62.5,2.2,9.3,0.48,11.6,21.4,0.408,0.473,7.6,78.7,0.076
2/13/2021,@,GSW,134,117,126.5,110.4,106,0.215,0.419,0.658,54.9,70,8.5,8.9,0.624,11.3,20,0.194,0.539,11.4,88.1,0.222
2/15/2021,@,SAC,136,125,139.5,128.3,97.5,0.135,0.528,0.721,46.1,60.8,7.2,6.3,0.725,13.7,25.7,0.079,0.594,11.3,63.4,0.115
2/16/2021,@,PHO,128,124,136.3,132.1,93.9,0.183,0.488,0.722,52.1,59.6,4.3,7.8,0.695,10.1,11.8,0.171,0.636,6,89.2,0.136
2/18/2021,@,LAL,109,98,118.5,106.5,92,0.312,0.506,0.622,50,60.5,9.8,5.7,0.61,12.9,21.6,0.195,0.53,15.2,75.6,0.12
2/21/2021,@,LAC,112,108,118.9,114.6,94.2,0.207,0.413,0.558,43.5,47.7,10.6,7.7,0.538,5.6,20,0.141,0.546,14.4,66,0.149
2/23/2021,,SAC,127,118,126,117.1,100.8,0.348,0.449,0.619,51.9,68.2,7.9,8.9,0.59,7.2,23.3,0.247,0.603,13.6,86.1,0.149
2/25/2021,,ORL,129,92,123.7,88.3,104.2,0.152,0.489,0.657,59.3,61.2,10.6,3.9,0.641,11.7,18.4,0.12,0.454,16.1,91.7,0.149
2/27/2021,,DAL,98,115,103.5,121.5,94.6,0.221,0.512,0.519,56.6,60,5.3,8,0.488,16.8,31.8,0.163,0.605,7.9,84.6,0.128
3/1/2021,@,SAS,124,113,124.8,113.7,90,0.17,0.41,0.577,51.5,74.5,6,12.9,0.555,4.4,25,0.13,0.531,8,80.9,0.103
3/3/2021,@,HOU,132,114,134.4,116.1,98.2,0.282,0.412,0.691,58.9,67.3,5.1,2.1,0.676,12.8,28.6,0.2,0.516,8,78.2,0.22
3/11/2021,,BOS,121,109,124.3,112,97.3,0.25,0.477,0.619,53.6,50,3.1,9.8,0.585,12.5,28.2,0.205,0.522,9.8,75.6,0.154
3/13/2021,,DET,100,95,106.4,101.1,94,0.275,0.338,0.558,43.2,56.4,8.5,12.3,0.525,11.8,12.8,0.2,0.449,10.9,71.4,0.169
3/15/2021,,NYK,117,112,121.8,116.6,96.1,0.289,0.382,0.683,50.6,65.9,3.1,12,0.658,14.9,10,0.224,0.484,7.2,74.5,0.25
3/17/2021,@,IND,124,115,119,110.3,104.2,0.46,0.31,0.593,59.5,52.4,9.6,3.8,0.534,13.3,33.3,0.356,0.565,14.4,89.7,0.238
3/19/2021,@,ORL,113,121,114.3,122.4,98.8,0.253,0.407,0.559,47,55.8,9.1,6.8,0.527,7.3,20,0.187,0.637,15.5,78.9,0.167
3/21/2021,,WAS,113,106,119.8,112.4,94.3,0.244,0.322,0.567,44.9,54.5,11.7,13.8,0.539,6.6,23.3,0.178,0.576,17.9,71.4,0.19
3/23/2021,@,POR,116,112,124.4,120.1,93.2,0.31,0.345,0.587,51.6,58.1,5.4,5.7,0.546,7.5,24.4,0.241,0.506,7.4,74,0.233
3/24/2021,@,UTA,88,118,91.7,123,96,0.155,0.361,0.425,46.2,54.3,9.4,2.8,0.397,8,22.4,0.113,0.577,10.2,76.1,0.143
3/26/2021,@,DET,113,111,123.5,121.3,91.5,0.405,0.393,0.571,57.6,51.4,3.3,9.5,0.518,9.2,35.6,0.31,0.527,8.8,82.5,0.466
3/29/2021,,MIN,112,107,108.5,103.6,103.2,0.294,0.353,0.583,49.5,77.5,9.7,11.9,0.529,12.7,17.1,0.259,0.456,12,71.7,0.126
3/31/2021,,HOU,120,108,128.5,115.6,93.4,0.211,0.4,0.61,59.2,56.8,6.4,7.9,0.561,10.1,32.4,0.211,0.583,12.8,84.6,0.218
