Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,ATL,104,124,100.1,119.4,103.9,0.322,0.402,0.524,44.6,55.6,9.6,6.7,0.46,13.1,17.4,0.276,0.625,18.5,78.4,0.3
12/26/2020,,IND,106,125,100,117.9,106,0.275,0.429,0.52,45.6,67.6,6.6,10.4,0.462,16.4,24.5,0.242,0.608,13.6,75.7,0.129
12/27/2020,,GSW,128,129,111.1,111.9,115.2,0.36,0.477,0.642,56.8,61.4,3.5,10.5,0.61,19.4,18.4,0.267,0.49,9.3,82.5,0.26
12/29/2020,@,WAS,115,107,108.9,101.3,105.6,0.368,0.414,0.569,44,68.4,6.6,2.1,0.523,12.2,11.4,0.276,0.5,16.6,80,0.274
12/31/2020,@,WAS,133,130,125.9,123.1,105.6,0.272,0.391,0.646,54.3,68,8.5,5.5,0.62,12.7,24.3,0.207,0.583,12.1,79.5,0.381
1/1/2021,@,MIL,96,126,88.7,116.5,108.2,0.23,0.299,0.501,48.8,47.4,9.2,15,0.471,17.3,13.3,0.161,0.624,14.8,87.8,0.235
1/3/2021,,DAL,118,108,116.6,106.8,101.2,0.353,0.435,0.601,53.9,41,10.9,4.3,0.535,14,26.8,0.318,0.5,12.9,77.1,0.213
1/5/2021,@,POR,111,108,110.6,107.6,100.3,0.198,0.451,0.561,53.1,67.5,5,11.6,0.527,13.2,23.4,0.165,0.516,9.8,80.4,0.117
1/6/2021,@,SAC,124,128,126.2,130.3,98.3,0.161,0.43,0.622,52.4,55.1,3.1,3.7,0.602,12.3,27,0.129,0.593,6.4,73.3,0.22
1/8/2021,@,LAL,115,117,118.2,120.2,97.3,0.154,0.286,0.592,49.4,56.5,10.3,5.8,0.56,11,22,0.143,0.58,13.9,76.2,0.284
1/10/2021,@,LAC,127,130,126.2,129.2,100.6,0.221,0.429,0.752,52.1,63.8,6,3.7,0.727,20.7,11.5,0.195,0.598,8.8,74.5,0.217
1/15/2021,@,OKC,125,127,107.5,109.2,105.3,0.275,0.505,0.613,56,62.8,4.3,13.3,0.588,19,19.6,0.198,0.529,8.7,87,0.152
1/17/2021,@,DAL,117,101,111.5,96.3,104.9,0.388,0.294,0.588,50,74.4,13.3,9.7,0.547,11.6,12.5,0.282,0.484,13.6,77.8,0.118
1/18/2021,,HOU,125,120,116.3,111.6,107.5,0.228,0.489,0.617,56.6,53.5,9.3,6.3,0.576,14.4,22.7,0.207,0.619,15.1,94.9,0.125
