Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,PHI,107,113,101.2,106.9,105.7,0.271,0.318,0.562,46,71.8,6.6,6.8,0.535,16.6,11.9,0.188,0.517,13.8,77.8,0.264
12/26/2020,,ORL,120,130,108.7,117.8,110.3,0.295,0.389,0.559,44.3,60.9,4.5,4.7,0.553,11.5,14,0.158,0.563,10.8,76.6,0.242
12/27/2020,,ORL,113,120,114.1,121.2,99,0.134,0.33,0.55,51.1,57.4,6.1,6.7,0.526,11.2,27.7,0.113,0.488,9,75.6,0.435
12/29/2020,,CHI,107,115,101.3,108.9,105.6,0.31,0.44,0.561,56,67.6,5.7,11.8,0.5,16.6,20,0.274,0.523,12.2,88.6,0.276
12/31/2020,,CHI,130,133,123.1,125.9,105.6,0.488,0.345,0.637,45.7,64.3,7.6,7.1,0.583,12.1,20.5,0.381,0.62,12.7,75.7,0.207
1/1/2021,@,MIN,130,109,124.1,104.1,104.7,0.236,0.371,0.662,50,71.4,8.6,5.8,0.64,14,20,0.18,0.551,17.1,76.1,0.136
1/3/2021,@,BRK,123,122,113.9,113,108,0.327,0.317,0.517,49,62.8,8.3,6.1,0.471,5.6,22.8,0.24,0.58,17.4,83.7,0.346
1/6/2021,@,PHI,136,141,123.9,128.5,109.7,0.372,0.394,0.622,50,57.4,8.2,3.8,0.585,10.6,20.9,0.277,0.728,14.3,96.3,0.284
1/8/2021,@,BOS,107,116,101.9,110.5,105,0.182,0.33,0.563,43.7,53.7,8.6,7.4,0.528,15.2,15.6,0.159,0.547,17.5,73.8,0.256
1/9/2021,,MIA,124,128,114.5,118.2,108.3,0.283,0.404,0.557,39,56.8,8.3,4,0.52,5.1,12.1,0.212,0.581,13.3,76.2,0.215
1/11/2021,,PHO,128,107,132.8,111,96.4,0.304,0.37,0.613,55.8,60.4,3.1,5,0.603,6.3,29.2,0.185,0.471,5.6,83,0.287
1/24/2021,@,SAS,101,121,100.7,120.6,100.3,0.152,0.457,0.514,53.2,59,5,7.7,0.5,12.5,23.5,0.098,0.578,7.4,88.4,0.104
1/26/2021,@,HOU,88,107,86.5,105.2,101.7,0.271,0.306,0.463,53.2,57.6,6.9,5.9,0.418,17.4,25,0.2,0.489,11.4,82.6,0.239
1/27/2021,@,NOP,106,124,107.6,125.9,98.5,0.228,0.413,0.524,43.8,78.4,11.2,4.3,0.473,9.8,22.4,0.207,0.612,12.3,70,0.169
1/29/2021,,ATL,100,116,101.7,117.9,98.4,0.447,0.329,0.492,50,41.9,6.1,8,0.406,10.6,27.1,0.365,0.517,11.3,73.9,0.299
1/31/2021,,BRK,149,146,132.2,129.6,112.7,0.296,0.361,0.61,46.4,42.9,8.9,3.8,0.574,5.4,22.4,0.231,0.676,14.2,80,0.307
2/2/2021,,POR,121,132,125.3,136.7,96.6,0.205,0.482,0.669,47,69.6,2.1,10.2,0.651,12.6,16.7,0.157,0.574,7.9,70.2,0.242
2/3/2021,@,MIA,103,100,108.1,105,95.3,0.298,0.44,0.542,52.7,57.1,6.3,10.4,0.506,15.2,28.6,0.214,0.506,12.3,79.5,0.193
2/5/2021,@,MIA,95,122,94.3,121.1,100.8,0.27,0.371,0.477,45.5,57.6,6.9,18,0.416,14.6,23.5,0.236,0.593,14.3,75.7,0.233
2/7/2021,@,CHO,97,119,96.2,118,100.9,0.311,0.444,0.474,44.9,64.7,5.9,7.9,0.428,12,22.6,0.222,0.5,9.1,66.7,0.202
2/8/2021,@,CHI,105,101,103.9,99.9,101.1,0.419,0.302,0.516,48.5,63.9,7.9,7.3,0.453,11.3,20,0.314,0.476,14.3,78.7,0.235
2/10/2021,,TOR,115,137,111,132.3,103.6,0.247,0.441,0.558,50,61.9,6.8,4.9,0.516,12,24.5,0.204,0.629,10.4,79.1,0.215
2/12/2021,,NYK,91,109,89.6,107.3,101.6,0.225,0.382,0.465,41.4,58.8,4.9,6.8,0.433,12.5,15.3,0.157,0.48,9.3,71.2,0.153
2/14/2021,,BOS,104,91,100.5,87.9,103.5,0.434,0.361,0.526,51.9,72.7,8.7,5.5,0.44,13.9,20,0.373,0.406,14.1,76.3,0.2
2/15/2021,,HOU,131,119,118.7,107.8,110.4,0.337,0.326,0.62,53.4,52.1,12.7,3.7,0.587,12.4,23.8,0.25,0.516,14.5,80.4,0.275
2/17/2021,,DEN,130,128,128.9,126.9,100.9,0.395,0.384,0.644,51.7,70.5,6.9,5.6,0.599,10.6,22,0.314,0.614,9.9,78.3,0.163
2/20/2021,@,POR,118,111,112.5,105.9,104.8,0.326,0.292,0.58,51.9,51.1,7.6,6.3,0.539,14.3,26.7,0.247,0.451,9.5,71.2,0.175
2/22/2021,@,LAL,127,124,107.4,104.9,107.1,0.344,0.26,0.575,52.1,53.2,7.6,6.7,0.536,12.6,13.2,0.25,0.543,15.2,78.6,0.106
2/23/2021,@,LAC,116,135,114.5,133.2,101.3,0.182,0.227,0.61,43.9,68.1,4.9,1.8,0.597,12,13.3,0.125,0.676,9.1,81.1,0.085
2/25/2021,@,DEN,112,110,115.4,113.3,97.1,0.291,0.302,0.577,48.8,58.5,9.3,4.3,0.523,10.2,23.8,0.256,0.524,15.9,72.7,0.247
2/27/2021,,MIN,128,112,114.8,100.4,111.5,0.347,0.337,0.567,53.3,61.4,5.4,10,0.515,12.4,28.3,0.276,0.489,14.3,77.8,0.2
2/28/2021,@,BOS,110,111,108.6,109.6,101.3,0.345,0.381,0.568,42.4,42.1,9.9,8.5,0.506,12.6,16.3,0.298,0.528,15.3,69,0.191
3/2/2021,,MEM,111,125,104.3,117.5,106.4,0.309,0.383,0.603,45.7,70.7,7.5,4.5,0.574,19.3,10.3,0.222,0.563,9.5,78.6,0.189
3/4/2021,,LAC,119,117,119.3,117.3,99.8,0.477,0.261,0.559,47.7,50,12,6.4,0.506,7.8,23.9,0.341,0.561,15.3,75,0.305
3/10/2021,@,MEM,112,127,102.9,116.7,108.9,0.284,0.379,0.524,39.4,60.5,8.3,7.9,0.458,7.8,11.5,0.263,0.545,11.8,70.2,0.192
3/12/2021,,PHI,101,127,99.1,124.6,101.9,0.268,0.293,0.551,39.5,47.5,9.8,2.9,0.537,16.4,13.3,0.159,0.606,14,72.2,0.2
3/13/2021,,MIL,119,125,107.2,112.6,111,0.234,0.436,0.574,41.8,58.1,8.1,3.7,0.543,12.6,12,0.181,0.52,14.1,72.9,0.222
3/15/2021,,MIL,122,133,113.1,123.3,107.9,0.276,0.437,0.625,41.8,77.3,4.6,1.5,0.598,12.5,5.1,0.207,0.612,13.5,77.5,0.191
3/17/2021,,SAC,119,121,110.2,112,108,0.298,0.266,0.56,57.8,54.3,4.6,3.3,0.511,12.4,23.8,0.245,0.495,6.9,87.5,0.312
3/18/2021,,UTA,131,122,120.4,112.1,108.8,0.442,0.198,0.638,47.8,48.9,5.5,4.2,0.587,11.2,16.3,0.349,0.552,12.9,76.6,0.167
3/21/2021,@,BRK,106,113,112.4,119.8,94.3,0.241,0.266,0.607,55.1,57.1,5.3,6.6,0.576,17.9,28.6,0.19,0.539,6.6,76.7,0.178
3/23/2021,@,NYK,113,131,113.6,131.7,99.4,0.443,0.291,0.599,47.5,65.8,5,8.1,0.538,14.5,18.9,0.354,0.598,8.9,72.1,0.228
3/25/2021,@,NYK,102,106,99.7,103.7,102.3,0.413,0.325,0.54,45.5,70.3,7.8,13.8,0.513,15.2,17.8,0.25,0.403,10.4,67.9,0.333
3/27/2021,,DET,106,92,102,88.5,103.9,0.099,0.231,0.558,52.7,54.5,6.7,8.9,0.533,15.9,16.3,0.099,0.447,16.9,85.4,0.188
3/29/2021,,IND,132,124,118.1,110.9,111.8,0.182,0.192,0.617,59.8,54.5,4.5,12.7,0.606,14.4,28.6,0.121,0.538,11.5,86,0.258
3/30/2021,,CHO,104,114,102.3,112.1,101.7,0.15,0.37,0.488,50.5,53.7,4.9,1.8,0.46,10.9,26.8,0.12,0.544,12.5,80,0.178
