Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/22/2020,@,BRK,99,125,89.6,113.1,110.5,0.232,0.333,0.454,45.2,70.3,5.4,10.5,0.424,14.2,22.8,0.152,0.538,15.9,72.3,0.283
12/25/2020,@,MIL,99,138,92.1,128.4,107.5,0.253,0.455,0.45,41.7,41.2,4.7,11.1,0.394,9.1,16.9,0.212,0.667,14.4,75,0.2
12/27/2020,@,CHI,129,128,111.9,111.1,115.2,0.288,0.452,0.55,43.2,59.5,14.8,8.9,0.49,9.3,17.5,0.26,0.61,19.4,81.6,0.267
12/29/2020,@,DET,116,106,113.6,103.8,102.2,0.474,0.434,0.632,47.1,55.3,7.8,14,0.592,17.1,12.1,0.342,0.451,12.5,69.2,0.25
1/1/2021,,POR,98,123,93.9,117.8,104.4,0.418,0.443,0.524,46.3,61.3,3.8,18.4,0.437,13.8,6.5,0.367,0.543,8.7,83.7,0.25
1/3/2021,,POR,137,122,127.8,113.8,107.2,0.386,0.386,0.665,57,46.9,3.7,12.7,0.631,12.7,28.2,0.295,0.49,9.6,77.8,0.265
1/4/2021,,SAC,137,106,125.6,97.2,109,0.144,0.443,0.664,48,80.4,3.7,10.9,0.644,9.6,6.8,0.124,0.433,11.6,80.4,0.311
1/6/2021,,LAC,101,108,104.9,112.1,96.3,0.221,0.349,0.535,42.2,64.1,10.4,4.3,0.5,12.1,18.2,0.174,0.512,17.1,69.2,0.309
1/8/2021,,LAC,115,105,122.8,112.1,93.7,0.22,0.5,0.639,50.7,62.5,13.9,5.8,0.61,14.3,25,0.183,0.566,16.9,74.4,0.133
1/10/2021,,TOR,106,105,105.9,104.9,100.1,0.204,0.495,0.523,51.5,78.9,2,17.2,0.478,12.9,25.5,0.183,0.474,8.6,75,0.146
1/12/2021,,IND,95,104,94.2,103.2,100.8,0.247,0.427,0.481,47.9,73.5,7.9,13.3,0.455,13.2,20,0.157,0.494,12.4,78.3,0.193
1/14/2021,@,DEN,104,114,100.3,110,103.7,0.296,0.358,0.568,46.2,76.3,8.7,7.5,0.537,17.2,11.1,0.21,0.517,11.3,79.2,0.233
1/18/2021,@,LAL,115,113,114.6,112.6,100.3,0.23,0.425,0.6,39,70.5,8,5.6,0.575,11.9,11.6,0.172,0.536,14.1,69.2,0.289
1/20/2021,,SAS,121,99,118.6,97,102.1,0.22,0.418,0.606,55.7,67.4,5.9,3.3,0.588,12.3,24.4,0.154,0.394,8.5,78.6,0.266
1/21/2021,,NYK,104,119,103.7,118.7,100.3,0.453,0.442,0.504,45.5,81.8,5,5.2,0.436,8.8,17,0.337,0.53,9.9,77.1,0.39
1/23/2021,@,UTA,108,127,103.9,122.2,103.9,0.161,0.419,0.542,38,71.4,5.8,18.2,0.527,9.9,8.5,0.108,0.585,13.4,68.9,0.181
1/25/2021,,MIN,130,108,126.8,105.3,102.5,0.416,0.337,0.617,49.5,47.7,12.7,14.3,0.573,12.5,32.6,0.315,0.457,14.6,66,0.234
1/27/2021,,MIN,123,111,118.5,107,103.8,0.271,0.4,0.647,54.1,71.1,10.6,9.8,0.618,18.1,28.2,0.212,0.506,14.3,76.1,0.264
1/28/2021,@,PHO,93,114,91.5,112.2,101.6,0.081,0.384,0.454,45.7,55.3,7.9,1.8,0.439,11.3,20,0.061,0.528,12.5,80,0.239
1/30/2021,,DET,118,91,121.8,93.9,96.9,0.112,0.404,0.632,55.3,72.3,6.2,12.2,0.624,13,20.5,0.079,0.435,13.3,84.8,0.312
2/2/2021,,BOS,107,111,111,115.1,96.4,0.277,0.446,0.575,41.4,78.9,9.3,8,0.548,10.6,13.3,0.193,0.542,13.5,71.4,0.238
