Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/26/2020,@,POR,126,128,117.4,119.2,97.2,0.368,0.402,0.623,48.3,60,4.7,8.8,0.58,13.7,22.7,0.287,0.554,10.4,74.4,0.147
12/28/2020,@,DEN,111,124,107,119.5,103.8,0.267,0.453,0.577,42.2,64.1,7.7,5.4,0.547,13.5,10.9,0.198,0.609,12.2,75,0.207
12/31/2020,,SAC,122,119,117.1,114.3,104.2,0.291,0.419,0.629,50,57.8,9.6,9.5,0.599,15.7,24.4,0.221,0.526,12.3,71.4,0.188
1/2/2021,,SAC,102,94,105.4,97.2,96.7,0.284,0.506,0.56,50.5,41.7,10.3,16.1,0.525,12.5,15.4,0.21,0.439,12.4,75,0.167
1/4/2021,,DAL,100,113,105.8,119.6,94.5,0.468,0.519,0.539,40.7,56.7,5.3,9.3,0.461,11.4,14.6,0.377,0.573,14.2,73.7,0.232
1/6/2021,@,IND,107,114,106.5,113.4,100.5,0.321,0.37,0.579,50.6,48.7,7,18.2,0.531,14.8,13.9,0.259,0.522,8.2,82.9,0.236
1/8/2021,,ORL,132,90,136.8,93.3,96.5,0.121,0.516,0.689,53.8,66.7,6.2,13.3,0.681,7.7,17.5,0.088,0.427,11.1,82.4,0.157
1/10/2021,,LAL,102,120,96.9,114,105.3,0.256,0.456,0.509,46.7,59.5,6.6,12.9,0.478,17.3,25,0.178,0.56,13.6,75,0.198
1/12/2021,,LAL,100,117,96.1,112.5,104,0.165,0.412,0.481,43.3,60.5,13.5,9.6,0.454,11.1,18.5,0.124,0.583,17.3,74.4,0.226
1/14/2021,@,SAS,109,105,110.3,106.3,98.8,0.221,0.384,0.578,54.4,59.5,6.1,9.8,0.564,16,24.4,0.14,0.505,9.2,79.6,0.13
1/16/2021,@,SAS,91,103,88.5,100.2,102.8,0.321,0.381,0.475,46.8,64.5,5.8,11.8,0.44,18.7,22.6,0.202,0.425,9.8,69.6,0.18
1/18/2021,@,CHI,120,125,111.6,116.3,107.5,0.193,0.455,0.628,43.4,54.3,7.4,2.1,0.619,15.1,5.1,0.125,0.576,14.4,77.3,0.207
1/20/2021,,PHO,103,109,99.2,105,103.8,0.25,0.352,0.527,46.4,45.9,10.6,9.1,0.477,14.1,15.9,0.216,0.517,14.9,80,0.191
1/22/2021,@,DET,103,102,102,101,101,0.211,0.432,0.496,48.1,64.9,6.9,22,0.463,11.9,25.5,0.158,0.47,16.2,72.5,0.305
1/23/2021,@,DAL,133,108,135.3,109.8,98.3,0.337,0.43,0.673,59.1,59.6,5.1,8.6,0.64,12.4,33.3,0.267,0.476,9,79.6,0.349
1/26/2021,,WAS,107,88,105.2,86.5,101.7,0.33,0.42,0.531,46.8,43.2,12.8,6.8,0.489,11.4,17.4,0.239,0.418,17.4,75,0.2
1/28/2021,,POR,104,101,105.2,102.1,98.9,0.2,0.522,0.531,49,50,8.1,13.5,0.494,11.7,20.4,0.167,0.511,13.5,78.7,0.065
