Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,NYK,121,107,114.2,101,106,0.309,0.362,0.567,55.6,60.9,5.7,15.8,0.532,10.9,22.2,0.223,0.529,14.4,88.9,0.2
12/26/2020,@,CHI,125,106,117.9,100,106,0.204,0.28,0.617,54.4,65.4,14.2,7.7,0.608,13.6,24.3,0.129,0.462,16.4,75.5,0.242
12/27/2020,,BOS,108,107,107.6,106.6,100.3,0.17,0.295,0.571,48.1,51.1,11,12.5,0.551,14.5,19,0.125,0.563,16.7,82.9,0.228
12/29/2020,,BOS,111,116,113,118.1,98.3,0.19,0.393,0.61,45.6,62.8,9.2,8.6,0.583,13.3,11.4,0.155,0.556,12.7,72.7,0.338
12/31/2020,,CLE,119,99,120.1,99.9,99.1,0.276,0.402,0.61,50.6,66.7,12.1,1.7,0.575,12.5,22,0.218,0.524,16.3,76.1,0.159
1/2/2021,,NYK,102,106,110.4,114.8,92.4,0.214,0.595,0.555,38.6,64.7,6.5,7.1,0.518,8,10.9,0.179,0.578,14.5,73,0.12
1/4/2021,@,NOP,118,116,108.9,107,98.2,0.14,0.484,0.598,42.4,71.1,9.2,10.8,0.586,12.4,10.9,0.097,0.48,13.9,69.8,0.188
1/6/2021,,HOU,114,107,113.4,106.5,100.5,0.292,0.258,0.568,49.4,50,10,17.6,0.522,8.2,17.1,0.236,0.531,14.8,86.1,0.259
1/9/2021,,PHO,117,125,119.4,127.6,98,0.261,0.315,0.57,56.5,52.3,2,7.5,0.543,8.9,26.5,0.185,0.574,1.9,90.7,0.181
1/11/2021,@,SAC,122,127,117.4,122.2,103.9,0.186,0.402,0.581,45.7,55.3,13.5,5.8,0.552,10.3,21.3,0.155,0.649,16.1,79.4,0.214
1/12/2021,@,GSW,104,95,103.2,94.2,100.8,0.284,0.318,0.525,52.1,66.7,8.9,17.6,0.494,12.4,21.7,0.193,0.455,13.2,80,0.157
1/14/2021,@,POR,111,87,118,92.5,94.1,0.196,0.326,0.555,53.8,65.9,11.7,11.4,0.527,10.7,31,0.152,0.443,16.5,72.5,0.115
1/17/2021,@,LAC,96,129,93.6,125.8,102.6,0.18,0.427,0.5,38.8,75.7,12.7,4.2,0.478,14.3,12.2,0.124,0.661,14.3,75,0.161
