Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,SAS,119,131,110.5,121.6,107.7,0.189,0.284,0.578,46.7,55.1,5.6,11.4,0.568,9.7,11.1,0.116,0.558,8.5,82.2,0.263
12/26/2020,,ATL,112,122,107.3,116.8,104.4,0.312,0.462,0.53,46,54.1,4.8,11.3,0.468,8.6,18,0.269,0.5,12.4,74,0.371
12/28/2020,@,BRK,116,111,106,101.5,99.1,0.296,0.296,0.524,52.8,47.6,9.1,6.9,0.48,14.6,30.2,0.224,0.48,13.7,75.5,0.15
12/30/2020,@,BOS,107,126,102.1,120.2,104.8,0.269,0.355,0.514,52.3,65,7.6,5.8,0.478,17.5,30.4,0.194,0.626,14.1,76.2,0.132
1/1/2021,@,CHO,108,93,109.1,93.9,99,0.111,0.433,0.572,53.3,79.1,10.1,10.9,0.556,13.7,23.8,0.089,0.459,15.9,79.2,0.163
1/3/2021,,LAL,94,108,100.8,115.8,93.3,0.084,0.347,0.477,50.5,59,6.4,5.6,0.458,10,27.5,0.074,0.528,9.3,75,0.157
1/5/2021,,LAL,92,94,93.6,95.6,98.3,0.149,0.299,0.496,42.2,66.7,14.2,7.1,0.471,12.3,10.4,0.115,0.489,15.6,78.6,0.103
1/7/2021,,CLE,90,94,97.9,102.3,91.9,0.096,0.373,0.52,56.5,75,14.1,12.2,0.5,17.2,26.8,0.084,0.538,14.8,84.1,0.114
1/8/2021,,BRK,115,110,111.4,106.5,103.3,0.143,0.327,0.552,52.3,64.4,13.6,12,0.526,10.3,24,0.122,0.556,18.1,89.5,0.247
1/11/2021,@,CLE,101,91,108,97.3,93.6,0.269,0.256,0.579,50,80,10.7,10.7,0.545,14.7,18.9,0.205,0.518,16.2,76.7,0.073
1/13/2021,@,MIN,118,107,118.9,107.8,99.3,0.123,0.236,0.528,49.5,66,11.1,9.4,0.509,5.9,28.8,0.094,0.483,10.7,74.4,0.222
1/16/2021,,PHI,106,104,102.7,100.7,103.2,0.182,0.293,0.496,44.8,62.8,14.5,5.1,0.475,9.3,22.4,0.121,0.482,18.3,68.1,0.274
1/18/2021,,PHO,108,104,111.2,107.1,97.1,0.241,0.313,0.588,47.6,75.6,13.4,5.8,0.56,14,22,0.181,0.54,15.9,72.1,0.102
1/30/2021,@,SAS,129,112,130.3,113.2,99,0.165,0.385,0.661,54.2,66.7,7.1,13,0.654,12.5,25,0.11,0.548,12.1,81.4,0.253
2/1/2021,@,SAS,133,102,133,102,100,0.194,0.323,0.659,55.8,71.2,11,21.2,0.64,8.2,23.8,0.151,0.489,12.4,81.1,0.169
2/2/2021,@,IND,116,134,111.3,128.6,104.2,0.258,0.269,0.56,46.2,64.3,10.6,13.2,0.5,13.4,23.3,0.247,0.695,16,74.3,0.244
2/4/2021,,HOU,103,115,105.6,117.9,97.5,0.276,0.402,0.528,49.4,75.7,10.3,14.3,0.494,11.8,23.4,0.195,0.58,12.9,80,0.161
2/6/2021,@,NOP,109,118,116.4,126,93.7,0.211,0.433,0.554,51.7,67.5,5.3,9.3,0.517,8.4,24.4,0.178,0.603,6.8,81,0.149
2/8/2021,,TOR,113,128,121.8,138,92.8,0.333,0.448,0.566,53.2,73,7.5,10,0.5,13.1,38.8,0.299,0.675,13.7,76.7,0.312
2/10/2021,,CHO,130,114,135.3,118.6,96.1,0.191,0.521,0.638,56.8,72.3,10.4,3.8,0.622,13.6,41.3,0.138,0.634,17.1,77.1,0.122
2/12/2021,@,LAL,105,115,105.2,115.2,99.8,0.238,0.363,0.594,41.3,79.5,9,3.6,0.563,16.1,15,0.188,0.541,15.3,67.5,0.271
2/14/2021,@,SAC,124,110,122.2,108.4,101.5,0.202,0.223,0.606,56.6,62,9.9,4.1,0.58,8.9,24.3,0.16,0.549,14.6,87.2,0.244
2/16/2021,,NOP,113,144,108.1,137.8,104.5,0.205,0.352,0.589,40.5,54.8,9.6,0,0.551,16.5,20,0.182,0.72,16.2,67.6,0.143
2/17/2021,,OKC,122,113,121.2,112.3,100.7,0.398,0.313,0.626,53,73.8,13.9,10.8,0.578,11,17.5,0.313,0.571,16.6,86,0.308
