Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,DET,111,101,112.7,102.6,98.5,0.318,0.466,0.553,52.2,65.8,6.1,8.6,0.494,9.9,24.5,0.273,0.527,11.1,83.7,0.032
12/26/2020,@,UTA,116,111,113.4,108.5,102.3,0.178,0.287,0.533,41.2,46.7,8.8,8.3,0.51,7.6,24,0.129,0.436,14,59.6,0.309
12/27/2020,@,LAL,91,127,85.3,119,106.7,0.136,0.34,0.417,51.1,63.2,10.3,10.9,0.398,13.5,29.3,0.087,0.628,14.8,86.1,0.156
12/29/2020,@,LAC,101,124,103,126.4,98.1,0.191,0.427,0.523,45.9,59.5,7.1,10.5,0.489,12.7,22,0.157,0.625,12,80,0.159
1/1/2021,,WAS,109,130,104.1,124.1,104.7,0.239,0.409,0.56,50,40.5,8.6,5.4,0.551,17.1,23.9,0.136,0.64,14,80,0.18
1/3/2021,,DEN,109,124,112.2,127.6,97.2,0.188,0.365,0.592,45.6,68.2,11.3,12.8,0.576,13.2,23.1,0.129,0.592,12.9,67.5,0.163
1/5/2021,@,DEN,116,123,113.4,120.2,102.3,0.297,0.374,0.564,50,57.1,7.8,7.4,0.522,12,23.8,0.231,0.57,12.4,76.2,0.418
1/7/2021,@,POR,117,135,109.7,126.6,106.6,0.355,0.441,0.544,52.2,61.5,10.3,8.2,0.495,13,28.3,0.269,0.644,13,84.6,0.211
1/9/2021,,SAS,122,125,115.2,118,95.9,0.177,0.313,0.589,52.5,60.4,0.9,10.1,0.578,13.4,23.4,0.115,0.5,5,77.8,0.238
1/10/2021,,SAS,96,88,100,91.7,96,0.284,0.321,0.527,53.6,55.9,6.2,4.7,0.475,12.5,20,0.235,0.426,9.1,82.7,0.085
1/13/2021,,MEM,107,118,107.8,118.9,99.3,0.267,0.411,0.532,50.5,69.2,3,7.4,0.483,10.7,25.6,0.222,0.509,5.9,71.2,0.094
1/18/2021,@,ATL,97,108,92.7,103.2,104.7,0.176,0.407,0.495,44.8,61.1,15.3,11.8,0.473,15.5,18,0.121,0.538,21.1,81.1,0.291
1/20/2021,,ORL,96,97,101.6,102.6,94.5,0.165,0.412,0.527,47.3,69.4,5.3,19.7,0.512,12.5,18.6,0.106,0.446,9.8,72.9,0.163
1/22/2021,,ATL,98,116,99.8,118.2,98.2,0.129,0.344,0.499,42.1,75,14.3,16.7,0.473,11.7,19.2,0.108,0.548,14.3,69.8,0.301
1/23/2021,,NOP,120,110,115.9,106.2,103.6,0.407,0.374,0.559,54.3,59,13.5,7.4,0.495,9.3,30.4,0.33,0.517,16.8,78.3,0.23
1/25/2021,@,GSW,108,130,105.3,126.8,102.5,0.266,0.255,0.514,50.5,66.7,7.8,8.5,0.457,14.6,34,0.234,0.573,12.5,67.4,0.315
1/27/2021,@,GSW,111,123,107,118.5,103.8,0.379,0.414,0.547,45.9,62.2,11.6,13.7,0.506,14.3,23.9,0.264,0.618,18.1,71.8,0.212
1/29/2021,,PHI,94,118,93.4,117.2,100.7,0.22,0.402,0.523,42.7,57.1,3,5.6,0.488,16.7,9.3,0.171,0.494,8.8,73.9,0.368
1/31/2021,,CLE,109,104,110.3,105.3,98.8,0.165,0.44,0.558,38.2,58.5,10.1,16.2,0.538,7.6,13.5,0.121,0.512,16.8,73,0.214
2/1/2021,@,CLE,98,100,104.7,106.8,93.6,0.108,0.373,0.459,46.4,50,4.3,1.6,0.446,7,28.8,0.069,0.458,11.7,66.7,0.274
2/3/2021,@,SAS,108,111,106.9,109.8,101.1,0.117,0.351,0.546,52.1,51.2,5.9,12.9,0.527,9.2,19.1,0.096,0.484,6.2,85.1,0.188
2/5/2021,@,OKC,106,103,106.3,103.3,99.7,0.096,0.426,0.541,49.4,65.9,10,7.8,0.521,13.3,21.7,0.085,0.535,15.5,80.5,0.141
2/6/2021,@,OKC,118,120,115.9,117.8,101.9,0.237,0.387,0.575,48.2,57.4,11.8,5.3,0.57,11.2,27.1,0.129,0.578,13.2,77.1,0.178
2/8/2021,@,DAL,122,127,118.5,123.4,102.9,0.308,0.462,0.59,46.1,64.3,8.7,9.4,0.56,8,15.6,0.22,0.586,12.3,77.3,0.287
2/10/2021,,LAC,112,119,114.3,121.4,98,0.2,0.432,0.542,47.3,70.7,8.2,13.6,0.511,12.7,30.2,0.158,0.573,13.7,71.1,0.305
2/12/2021,@,CHO,114,120,110.4,116.2,103.2,0.141,0.414,0.542,42.1,62.2,9.7,7.4,0.535,7.1,17.3,0.081,0.561,16.9,72.1,0.211
2/14/2021,@,TOR,116,112,114.2,110.3,101.5,0.232,0.476,0.642,51.3,65.1,5.9,13.8,0.622,16.6,15.2,0.171,0.473,9.5,77.8,0.286
2/16/2021,,LAL,104,112,106.7,114.9,97.5,0.14,0.366,0.527,50,66.7,11.3,7.8,0.505,13.2,25.6,0.108,0.617,17.3,81.8,0.221
2/17/2021,,IND,128,134,114.4,119.7,101.4,0.234,0.374,0.542,46.3,82.2,10.7,11.3,0.491,8.5,21.2,0.215,0.572,11.4,76.7,0.237
2/19/2021,,TOR,81,86,88.1,93.6,91.9,0.133,0.458,0.461,45.7,75,6.5,20,0.44,12.9,14.3,0.096,0.4,13.7,71.2,0.212
2/21/2021,@,NYK,99,103,103.1,107.3,96,0.256,0.427,0.543,47.3,72.7,6.3,5,0.5,14.1,15.9,0.207,0.462,12.1,76.6,0.397
2/23/2021,@,MIL,112,139,105.9,131.4,105.8,0.092,0.551,0.549,45.3,83.3,3.8,8.8,0.526,12.1,14,0.092,0.636,7,80,0.131
2/24/2021,@,CHI,126,133,111.8,118,102.1,0.202,0.365,0.556,48.8,59.6,9.8,5.9,0.51,13.1,26.5,0.192,0.645,17.3,80,0.14
2/27/2021,@,WAS,112,128,100.4,114.8,111.5,0.305,0.368,0.52,46.7,56.1,8.1,15.4,0.489,14.3,22.2,0.2,0.515,12.4,71.7,0.276
2/28/2021,,PHO,99,118,94.1,112.2,105.2,0.258,0.376,0.478,48.4,60,11.4,6.5,0.419,12.7,20.4,0.226,0.534,13.8,81,0.258
3/3/2021,,CHO,102,135,93.8,124.1,108.8,0.188,0.417,0.491,45.5,64.1,10.1,3.4,0.453,15.5,22.6,0.156,0.607,13.7,71.7,0.163
3/11/2021,@,NOP,135,105,129.6,100.8,104.2,0.168,0.421,0.662,42.7,54.9,10.6,14.7,0.637,9.7,17.9,0.147,0.46,14,62,0.13
3/13/2021,,POR,121,125,121.6,125.6,99.5,0.36,0.302,0.607,62.2,52.3,5,14.3,0.57,15.3,41.3,0.267,0.556,7.3,84.1,0.292
3/14/2021,,POR,114,112,117.5,115.5,97,0.534,0.521,0.632,51.7,66.7,6.2,9.1,0.582,11.7,13.2,0.397,0.534,10.1,81.6,0.191
3/16/2021,@,LAL,121,137,119.8,135.6,101,0.244,0.389,0.607,44.2,59.6,8.9,9.8,0.583,10.7,19.5,0.178,0.649,11.6,72.2,0.276
3/18/2021,@,PHO,123,119,116.5,112.7,105.6,0.376,0.366,0.567,44.7,50,13.3,8.2,0.532,10,22.4,0.258,0.618,19.1,75,0.165
3/19/2021,@,PHO,101,113,99.3,111.1,101.7,0.228,0.443,0.581,49.4,59.5,7.9,10.2,0.551,17.9,12.8,0.177,0.581,16.1,85,0.151
3/22/2021,,OKC,103,112,107.2,116.6,96.1,0.196,0.424,0.515,47.2,63.2,11.4,8,0.489,10.7,22.4,0.141,0.592,13.3,77.5,0.103
3/24/2021,,DAL,108,128,106.7,126.5,101.2,0.302,0.442,0.554,41.1,63.2,5.9,3.6,0.512,11,13.3,0.233,0.566,8.4,68.9,0.162
3/26/2021,,HOU,107,101,103.7,97.9,103.2,0.233,0.369,0.471,51.5,76.9,11.6,7,0.427,7.3,25.9,0.184,0.523,17,83.7,0.115
