Date,HomeAway,Opponent,Points,OppPoints,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF,Team
2020-12-22,,GSW,125,99,42,92,0.457,15,35,0.429,26,32,0.813,13,57,24,11,7,20,22,37,99,0.374,10,33,0.303,15,23,0.652,13,47,26,6,6,18,24,BKN
2020-12-25,@,BOS,123,95,41,76,0.539,15,29,0.517,26,31,0.839,9,43,21,5,10,15,22,37,98,0.378,8,27,0.296,13,19,0.684,20,47,23,6,5,15,27,BKN
2020-12-27,@,CHO,104,106,35,82,0.427,17,47,0.362,17,25,0.68,6,46,23,4,5,19,17,43,96,0.448,10,34,0.294,10,17,0.588,13,52,35,8,3,12,25,BKN
2020-12-28,,MEM,111,116,41,100,0.41,14,42,0.333,15,17,0.882,13,50,28,13,6,17,20,42,98,0.429,10,29,0.345,22,29,0.759,16,56,20,10,4,19,17,BKN
2020-12-30,,ATL,145,141,54,100,0.54,19,41,0.463,18,23,0.783,9,40,30,6,3,8,24,47,99,0.475,18,46,0.391,29,35,0.829,17,54,27,5,2,12,19,BKN
2021-01-01,,ATL,96,114,35,86,0.407,7,37,0.189,19,23,0.826,10,45,19,6,6,15,16,43,93,0.462,16,39,0.41,12,14,0.857,10,48,24,8,3,9,20,BKN
2021-01-03,,WAS,122,123,40,81,0.494,14,32,0.438,28,31,0.903,7,51,25,5,9,20,24,43,104,0.413,12,33,0.364,25,34,0.735,13,49,27,9,3,7,22,BKN
2021-01-05,,UTA,130,96,52,93,0.559,14,36,0.389,12,16,0.75,8,51,31,11,5,12,22,33,86,0.384,11,34,0.324,19,27,0.704,9,41,17,6,3,15,18,BKN
2021-01-07,,PHI,122,109,44,97,0.454,15,37,0.405,19,29,0.655,11,48,30,11,7,12,17,41,87,0.471,9,26,0.346,18,20,0.9,4,47,23,6,6,20,25,BKN
2021-01-08,@,MEM,110,115,38,81,0.469,14,31,0.452,20,21,0.952,4,42,26,6,4,20,13,45,98,0.459,13,32,0.406,12,14,0.857,12,46,29,14,6,12,18,BKN
2021-01-10,,OKC,116,129,43,85,0.506,10,34,0.294,20,24,0.833,6,43,23,3,2,17,18,49,90,0.544,15,39,0.385,16,17,0.941,3,34,24,12,4,10,22,BKN
