Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,TOR,113,99,108.6,95.2,104,0.25,0.525,0.636,56.3,71.4,12.5,16.3,0.644,21.3,22.2,0.125,0.506,17.5,84.1,0.101
12/25/2020,@,MIA,98,111,101.3,114.7,96.8,0.423,0.449,0.53,53.9,58.1,8.3,5.3,0.462,17,26.2,0.333,0.613,16.6,88.2,0.253
12/27/2020,,SAS,98,95,97.2,94.2,100.9,0.309,0.255,0.459,54.4,41.7,10.9,7.5,0.41,7,23.2,0.223,0.489,14,91.5,0.09
12/29/2020,@,PHO,86,111,95.1,122.8,90.4,0.234,0.312,0.506,48.8,48.6,8.8,8.1,0.5,15.9,18.4,0.117,0.554,9.8,73.9,0.214
12/31/2020,@,OKC,113,80,116.3,82.4,97.1,0.209,0.396,0.569,59.2,52.3,9.3,12.5,0.555,11.6,29.8,0.132,0.469,18,86.3,0.063
1/2/2021,,TOR,120,116,122.5,118.4,98,0.566,0.458,0.579,55.6,74.3,6.1,16.3,0.506,10.4,31.8,0.434,0.495,8,78.3,0.286
1/4/2021,,IND,116,118,107,108.9,98.2,0.238,0.267,0.52,57.6,59.1,4.6,8.3,0.48,13.9,30.2,0.188,0.586,12.4,89.1,0.097
1/6/2021,,OKC,110,111,106.7,107.6,103.1,0.258,0.247,0.555,57.8,56.8,10.7,0,0.517,13.1,20.9,0.202,0.569,13,91.5,0.138
1/8/2021,,CHO,110,118,117.1,125.6,94,0.338,0.494,0.622,44.4,76.3,6.4,8.9,0.591,17.7,25.6,0.247,0.563,12.5,61.9,0.23
1/13/2021,@,LAC,106,111,116.6,122.1,90.9,0.182,0.318,0.558,57.1,42.9,4.4,10.8,0.534,8.7,26.7,0.136,0.595,10.4,92.3,0.311
1/15/2021,@,LAL,95,112,99,116.8,95.9,0.093,0.337,0.531,51.6,53.7,3.1,8.9,0.529,18.3,24.4,0.047,0.5,5.4,74,0.204
