Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,MIA,113,107,107.7,102,104.9,0.341,0.318,0.558,48.8,54.8,14.3,4.8,0.534,14.4,23.4,0.216,0.548,19.4,81.1,0.193
12/26/2020,@,WAS,130,120,117.8,108.7,110.3,0.305,0.326,0.603,55.7,52.1,7.2,0,0.563,10.8,23.4,0.242,0.553,11.5,86,0.158
12/27/2020,@,WAS,120,113,121.2,114.1,99,0.447,0.294,0.59,48.9,51.4,6.1,4.6,0.488,9,24.4,0.435,0.526,11.2,72.3,0.113
12/29/2020,@,OKC,118,107,115.1,104.4,102.5,0.167,0.229,0.573,49.5,53.1,11.7,3.8,0.547,9.6,24.5,0.135,0.557,17.3,77.3,0.115
12/31/2020,,PHI,92,116,89.3,112.7,103,0.221,0.295,0.441,47.1,51.5,1.9,8.6,0.384,9.5,17.5,0.2,0.566,12.5,84.4,0.143
1/2/2021,,OKC,99,108,99.7,108.8,99.3,0.111,0.352,0.437,51.4,52.5,7,2.2,0.417,5,24.6,0.083,0.517,9.5,87,0.221
1/4/2021,,CLE,103,83,112.6,90.7,91.5,0.148,0.386,0.55,60.7,57.9,9.8,12.3,0.517,16.9,40.9,0.136,0.447,13.4,80,0.082
1/6/2021,,CLE,105,94,113.1,101.3,92.8,0.222,0.358,0.59,48.9,50,4.3,6.8,0.568,14.4,20,0.16,0.447,9.4,72.9,0.212
1/8/2021,@,HOU,90,132,93.3,136.8,96.5,0.18,0.326,0.469,46.2,50,5.2,4.5,0.427,11.1,17.6,0.157,0.681,7.7,82.5,0.088
1/9/2021,@,DAL,98,112,102.1,116.6,96,0.247,0.348,0.497,49.4,44.7,11.5,5.1,0.461,8.4,20.8,0.18,0.62,16.4,84.6,0.177
1/11/2021,,MIL,99,121,100.9,123.3,98.1,0.143,0.341,0.512,50.6,61.5,5.1,7.1,0.489,15.7,31.9,0.11,0.577,12.3,72.5,0.176
1/15/2021,@,BOS,97,124,99.3,127,97.6,0.234,0.298,0.468,50.5,36.8,5.1,2.2,0.441,9.6,27.8,0.149,0.608,9.4,83.8,0.193
1/16/2021,@,BRK,115,122,112.2,119,102.5,0.168,0.484,0.564,48.1,63.6,12.7,9.3,0.537,10.5,19.6,0.137,0.641,17.6,87.9,0.282
1/18/2021,@,NYK,84,91,91.6,99.2,91.7,0.186,0.442,0.451,49,62.1,4.4,15,0.407,10.6,20,0.163,0.385,5.6,75.9,0.276
1/20/2021,@,MIN,97,96,102.6,101.6,94.5,0.228,0.337,0.479,52.7,72.2,5.3,16,0.446,9.8,27.1,0.163,0.512,12.5,81.4,0.106
1/22/2021,@,IND,118,120,115.6,117.5,92.5,0.255,0.394,0.564,52.7,67.4,6.9,5.1,0.548,11.8,26.5,0.16,0.559,9,81.8,0.172
1/24/2021,,CHO,104,107,109.3,112.5,95.1,0.149,0.437,0.561,50,69.2,4.2,7.7,0.546,13.9,24.4,0.103,0.557,11.2,78,0.102
1/25/2021,,CHO,117,108,116.1,107.2,100.8,0.25,0.42,0.599,54.4,73.8,9.9,5.9,0.585,13.3,25,0.159,0.5,12.2,78,0.213
1/27/2021,,SAC,107,121,109.2,123.4,98,0.188,0.271,0.515,48.5,62.5,8.2,13.6,0.469,11.9,34,0.177,0.565,12.7,63.8,0.185
1/29/2021,,LAC,90,116,90.7,116.9,99.2,0.202,0.371,0.464,50,62.5,6,3.5,0.416,14.9,23.1,0.18,0.559,10,80.4,0.117
1/31/2021,@,TOR,102,115,104.3,117.6,97.8,0.341,0.439,0.541,46.7,66.7,8.2,9.8,0.482,9.6,13.3,0.28,0.522,9.9,80,0.233
2/2/2021,,TOR,108,123,109.4,124.6,98.7,0.157,0.427,0.567,53.5,58.5,4.1,10.5,0.539,14.4,20.9,0.135,0.602,10.5,86,0.277
2/5/2021,,CHI,123,119,122.1,118.1,100.7,0.457,0.333,0.632,55.1,64.3,5,3,0.586,13.4,25,0.346,0.526,7.1,79.6,0.188
2/6/2021,,CHI,92,118,98.6,126.4,93.4,0.126,0.284,0.459,50,45.9,5.4,16.4,0.421,9.9,29.4,0.126,0.599,9.4,74.4,0.099
2/9/2021,@,POR,97,106,100.9,110.2,96.1,0.25,0.398,0.497,49.5,59.5,7.3,6.8,0.483,9.3,18.2,0.136,0.489,7.5,82.7,0.2
2/11/2021,@,GSW,105,111,103.7,109.6,101.3,0.186,0.34,0.5,51.6,50,6.9,15.8,0.469,12.5,26,0.144,0.58,15.4,80,0.102
