Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,UTA,100,120,101.8,122.1,98.3,0.185,0.359,0.503,40.4,62.2,6.1,6.8,0.467,5.7,11.3,0.152,0.559,9.7,73.9,0.16
12/26/2020,,HOU,128,126,119.2,117.4,97.2,0.225,0.441,0.571,51.7,57.4,9.3,9.6,0.554,10.4,25.6,0.147,0.58,13.7,77.3,0.287
12/28/2020,@,LAL,115,107,115.1,107.1,99.9,0.163,0.5,0.583,52.3,62.8,9,10,0.554,8.4,16.7,0.141,0.529,12.9,86.4,0.172
12/30/2020,@,LAC,105,128,103.6,126.3,101.3,0.447,0.5,0.577,46.6,43.8,4.9,7,0.5,15.7,12.2,0.382,0.589,8.7,76.6,0.168
1/1/2021,@,GSW,123,98,117.8,93.9,104.4,0.326,0.467,0.585,53.7,57.5,10.5,6.8,0.543,8.7,16.3,0.25,0.437,13.8,93.5,0.367
1/3/2021,@,GSW,122,137,113.8,127.8,107.2,0.337,0.439,0.542,43,39,6.5,3.7,0.49,9.6,22.2,0.265,0.631,12.7,71.8,0.295
1/5/2021,,CHI,108,111,107.6,110.6,100.3,0.181,0.543,0.532,46.9,59,8,6,0.516,9.8,19.6,0.117,0.527,13.2,76.6,0.165
1/7/2021,,MIN,135,117,126.6,109.7,106.6,0.256,0.456,0.674,47.8,51,9.4,11.5,0.644,13,15.4,0.211,0.495,13,71.7,0.269
1/9/2021,@,SAC,125,99,119.1,94.3,104.9,0.23,0.41,0.568,51.5,59.1,9.5,9.8,0.525,6.8,18,0.2,0.457,13.5,87.2,0.309
1/11/2021,,TOR,112,111,113.7,112.6,98.5,0.301,0.506,0.596,49.4,47.4,9.1,14.3,0.542,12.1,18.2,0.265,0.556,13.7,82.9,0.135
1/13/2021,@,SAC,132,126,136.6,130.4,96.6,0.3,0.533,0.648,47.5,63.6,9.3,17.4,0.617,7.3,26.1,0.233,0.637,12,76.5,0.226
1/14/2021,,IND,87,111,92.5,118,94.1,0.115,0.494,0.476,46.2,50,8.5,8.1,0.443,16.5,27.5,0.115,0.527,10.7,69,0.152
1/16/2021,,ATL,112,106,111.3,105.3,100.6,0.194,0.427,0.501,53.4,45,6,14,0.461,5.9,29.3,0.165,0.471,11.6,84.4,0.276
1/18/2021,,SAS,104,125,106.7,128.3,97.4,0.211,0.389,0.529,41.5,51.3,9.2,10.5,0.489,11.7,18.2,0.178,0.617,11,68.4,0.156
1/24/2021,,NYK,116,113,124.6,121.4,93.1,0.277,0.554,0.623,45.3,48.7,5.4,14,0.572,10.6,20.9,0.253,0.523,11,69.8,0.267
1/25/2021,,OKC,122,125,125.5,128.6,97.2,0.214,0.418,0.569,53.8,37,6.2,6.8,0.541,6.9,30.6,0.163,0.619,7.4,79.5,0.25
1/28/2021,@,HOU,101,104,102.1,105.2,98.9,0.086,0.441,0.523,51,41,6.1,16.3,0.511,13.5,21.3,0.065,0.494,11.7,79.6,0.167
1/30/2021,@,CHI,123,122,132.2,131.1,93.1,0.216,0.477,0.638,44.9,44.4,11.8,2.5,0.608,7.7,22,0.182,0.629,14.1,70.3,0.176
2/1/2021,@,MIL,106,134,103,130.2,102.9,0.125,0.404,0.483,45.9,48.7,7.8,11.1,0.447,9.1,24.1,0.125,0.661,10.6,77.5,0.073
2/2/2021,@,WAS,132,121,136.7,125.3,96.6,0.242,0.484,0.628,53,43.2,6.2,2.3,0.574,7.9,29.8,0.242,0.651,12.6,83.3,0.157
2/4/2021,@,PHI,121,105,123.6,107.3,97.9,0.235,0.316,0.56,58.9,37.8,8.2,9.3,0.526,9.2,39.6,0.184,0.525,16.4,81,0.247
2/6/2021,@,NYK,99,110,102.9,114.4,96.2,0.18,0.528,0.515,44.6,40.5,7.3,12.1,0.511,10.3,20.4,0.09,0.574,13,78.9,0.102
2/9/2021,,ORL,106,97,110.2,100.9,96.1,0.211,0.511,0.539,50.5,51.4,6.2,11.3,0.489,7.5,17.3,0.2,0.483,9.3,81.8,0.136
2/11/2021,,PHI,118,114,125.7,121.4,93.9,0.247,0.409,0.572,50.5,37.5,5.3,3.4,0.522,7.2,30,0.226,0.523,8.4,74.4,0.279
2/12/2021,,CLE,129,110,127.7,108.9,101,0.398,0.422,0.661,52.3,37.2,3,6.3,0.596,12.6,22.5,0.361,0.483,9.6,78.3,0.299
2/14/2021,@,DAL,121,118,130,126.8,93.1,0.224,0.471,0.648,50.7,33.3,7.5,5,0.635,13.8,28.6,0.153,0.58,11.5,72.2,0.296
2/16/2021,@,OKC,115,104,117.5,106.3,97.9,0.177,0.49,0.556,54,61.9,6.1,15.4,0.542,8.8,27.8,0.115,0.494,10.2,84.8,0.235
2/17/2021,@,NOP,126,124,133.7,131.6,94.2,0.2,0.456,0.643,37.8,56.5,6.4,12.3,0.611,8.4,17.5,0.178,0.567,9.8,57.1,0.258
2/20/2021,,WAS,111,118,105.9,112.5,104.8,0.243,0.534,0.487,48.1,51.4,9.5,11.1,0.451,9.5,28.8,0.175,0.539,14.3,73.3,0.247
2/22/2021,@,PHO,100,132,104.8,138.4,95.4,0.226,0.464,0.541,51.7,40.5,6.3,9.1,0.512,14.8,30.2,0.167,0.586,6.1,71.7,0.162
2/23/2021,@,DEN,106,111,116.9,122.4,90.7,0.115,0.471,0.58,54,51.2,0,12.1,0.552,9,18.9,0.115,0.5,1,80,0.181
2/26/2021,@,LAL,93,102,99.9,109.5,93.1,0.241,0.446,0.507,46.4,59.4,5.4,8.2,0.452,14,21.3,0.217,0.46,8.2,70,0.239
3/1/2021,,CHO,123,111,127.6,115.1,96.4,0.116,0.535,0.68,50.7,56.5,12.4,13,0.674,14.2,23.5,0.081,0.574,14.4,73.2,0.114
3/3/2021,,GSW,108,106,112.3,110.2,96.1,0.302,0.57,0.554,46.5,41.7,5.2,7.3,0.5,9.3,17.8,0.256,0.5,9.6,69.6,0.093
3/4/2021,,SAC,123,119,128.8,124.6,95.5,0.284,0.432,0.621,44.6,47.6,6.3,9.5,0.563,7.5,21.4,0.273,0.529,6,64,0.097
3/11/2021,,PHO,121,127,125.2,131.4,96.6,0.202,0.457,0.591,51.9,60.5,8.3,3.4,0.553,9.7,31.3,0.181,0.669,12.5,83.9,0.193
3/13/2021,@,MIN,125,121,125.6,121.6,99.5,0.337,0.449,0.612,37.8,60.5,6,8.3,0.556,7.3,15.9,0.292,0.57,15.3,58.7,0.267
3/14/2021,@,MIN,112,114,115.5,117.5,97,0.236,0.506,0.57,48.3,56.4,6.2,8.6,0.534,10.1,18.4,0.191,0.582,11.7,86.8,0.397
