Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,MEM,131,119,121.6,110.5,107.7,0.305,0.263,0.608,53.3,58.3,7.4,11.8,0.558,8.5,17.8,0.263,0.568,9.7,88.9,0.116
12/26/2020,,TOR,119,114,114.3,109.5,104.1,0.16,0.34,0.556,53.5,76.6,3.8,5.5,0.54,13,28,0.11,0.536,9.7,79.6,0.115
12/27/2020,@,NOP,95,98,94.2,97.2,100.9,0.09,0.404,0.513,45.6,68.4,5,14.3,0.489,14,8.5,0.09,0.41,7,76.8,0.223
12/30/2020,,LAL,107,121,107.6,121.7,99.4,0.264,0.276,0.551,45.3,62.5,8,7.1,0.517,9.3,14.9,0.195,0.646,15.8,82.1,0.183
1/1/2021,,LAL,103,109,102.5,108.4,100.5,0.306,0.4,0.534,43.7,63.9,3,11.8,0.5,11.9,16,0.212,0.475,10.7,69.8,0.129
1/3/2021,,UTA,109,130,103,122.9,105.8,0.2,0.181,0.477,44.1,52.3,12.3,8.3,0.448,5.8,22.6,0.143,0.669,16.3,77.5,0.124
1/5/2021,@,LAC,116,113,119.6,116.5,97,0.115,0.417,0.575,49.4,52.3,9.3,5.9,0.563,9,22.4,0.083,0.587,12.4,82.5,0.14
1/7/2021,@,LAL,118,109,120.7,111.5,97.8,0.185,0.38,0.593,45.5,65.1,4.1,5.4,0.554,5.7,13.3,0.174,0.558,12,79.1,0.151
1/9/2021,@,MIN,125,122,118,115.2,95.9,0.287,0.317,0.549,47.5,50,7.6,4.5,0.5,5,22.2,0.238,0.578,13.4,76.6,0.115
1/10/2021,@,MIN,88,96,91.7,100,96,0.149,0.319,0.439,46.4,58.3,4.2,9.1,0.426,9.1,17.3,0.085,0.475,12.5,80,0.235
1/12/2021,@,OKC,112,102,112,102,100,0.232,0.368,0.535,46.9,63.4,8,8.8,0.484,3.7,13.5,0.211,0.476,12,84.8,0.277
