Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,MIN,101,111,102.6,112.7,98.5,0.086,0.376,0.523,47.8,64.4,5.1,4.3,0.527,11.1,16.3,0.032,0.494,9.9,75.5,0.273
12/26/2020,,CLE,119,128,97.8,105.2,100.6,0.327,0.459,0.531,52.8,60,7.4,7.2,0.49,16.4,18.5,0.235,0.551,13.8,87,0.192
12/28/2020,@,ATL,120,128,122.7,130.8,97.8,0.245,0.418,0.553,51.6,55.8,7.2,10,0.505,6.9,31.5,0.214,0.61,11.9,79.5,0.341
12/29/2020,,GSW,106,116,103.8,113.6,102.2,0.315,0.38,0.506,52.9,60,7.8,14,0.451,12.5,30.8,0.25,0.592,17.1,87.9,0.342
1/1/2021,,BOS,96,93,95.4,92.4,100.7,0.227,0.386,0.496,52.2,50,8.9,3.8,0.472,16.4,24.5,0.148,0.518,17.6,83.7,0.084
1/3/2021,,BOS,120,122,125.9,128,95.3,0.291,0.419,0.619,44.6,70.7,8.4,13,0.57,8.5,21.6,0.256,0.649,15.5,67.6,0.103
1/4/2021,@,MIL,115,125,112,121.7,102.7,0.122,0.408,0.557,38.8,62.8,8.8,9.8,0.526,7.2,12.5,0.122,0.659,17.1,78.1,0.153
1/6/2021,@,MIL,115,130,113.4,128.1,101.5,0.309,0.423,0.522,50,52.6,5.9,6.4,0.459,7.6,28.3,0.268,0.65,12.4,78,0.144
1/8/2021,,PHO,110,105,103.7,99,96.1,0.322,0.378,0.535,47.9,62.2,12.3,10.3,0.472,12,18,0.278,0.544,17.8,80.4,0.066
1/10/2021,,UTA,86,96,97.6,109,88.1,0.241,0.483,0.447,38.2,72.4,11.4,14.9,0.391,6.8,19,0.207,0.494,12.4,63.6,0.183
1/13/2021,,MIL,101,110,103.4,112.6,97.7,0.239,0.38,0.497,49.5,69.4,8.2,7.1,0.467,13.6,25.5,0.163,0.594,13.3,77.3,0.106
1/16/2021,@,MIA,120,100,127,105.9,94.5,0.165,0.505,0.615,55.7,73.9,9.5,21.1,0.604,10.1,27.8,0.11,0.567,21.8,85.3,0.358
1/18/2021,@,MIA,107,113,112.4,118.7,95.2,0.293,0.451,0.578,47.1,63.2,8.4,6.7,0.543,14.7,24.4,0.22,0.653,17.8,81.5,0.2
1/20/2021,@,ATL,115,123,107.7,115.2,96.7,0.196,0.32,0.546,40,50,8.4,3.9,0.505,11,14.9,0.175,0.485,10,60.3,0.26
1/22/2021,,HOU,102,103,101,102,101,0.451,0.39,0.519,51.9,54.8,4.9,14.8,0.47,16.2,27.5,0.305,0.463,11.9,74.5,0.158
1/23/2021,,PHI,110,114,107.5,111.4,102.3,0.349,0.384,0.554,46.7,67.6,8.8,13.3,0.512,13.1,17.8,0.256,0.506,13.1,74.5,0.361
1/25/2021,,PHI,119,104,127.4,111.4,93.4,0.543,0.543,0.686,56.6,62.9,6.4,9.1,0.621,17.2,32.4,0.457,0.473,8.1,73.5,0.16
1/27/2021,@,CLE,107,122,105.4,120.1,101.6,0.354,0.329,0.565,51.9,78.4,6.9,7.6,0.518,18.8,31,0.268,0.603,14.1,77.1,0.195
1/28/2021,,LAL,107,92,117.3,100.9,91.2,0.149,0.414,0.577,46.3,67.5,4.4,3.3,0.54,7.9,13.5,0.149,0.477,10.5,73.3,0.091
1/30/2021,@,GSW,91,118,93.9,121.8,96.9,0.416,0.468,0.5,44.7,58.6,7.2,7.5,0.435,13.3,15.2,0.312,0.624,13,79.5,0.079
2/2/2021,@,UTA,105,117,105.4,117.5,99.6,0.215,0.29,0.516,51.1,46.2,7,12.5,0.468,12.8,25,0.194,0.561,12.1,81,0.305
2/5/2021,@,PHO,92,109,93.3,110.5,98.7,0.308,0.396,0.445,47.4,58.8,8.1,11.3,0.412,11.2,29.8,0.187,0.565,18.6,73.7,0.153
2/6/2021,@,LAL,129,135,113.2,118.5,94.3,0.298,0.447,0.607,46.1,68.9,11.4,5.6,0.564,15.8,22,0.245,0.61,18.2,74.3,0.264
2/9/2021,,BRK,122,111,125.3,114,97.4,0.25,0.345,0.654,52.1,59.6,10.3,10.7,0.637,12.2,21.2,0.179,0.564,13.9,78.9,0.163
2/11/2021,,IND,95,111,110.2,128.8,86.2,0.224,0.329,0.509,51.2,55.3,5.8,9.1,0.476,10.5,32.6,0.165,0.593,7.2,73.7,0.105
2/12/2021,@,BOS,108,102,112.1,105.9,96.3,0.38,0.481,0.586,50,73.5,3.1,10.9,0.525,11.5,14,0.316,0.488,9.5,84.4,0.268
2/14/2021,,NOP,123,112,134.8,122.7,91.3,0.238,0.417,0.663,45.7,75.6,3.3,14.5,0.637,10.6,25.7,0.19,0.494,8.9,60.9,0.256
2/17/2021,@,CHI,102,105,103.7,106.8,98.3,0.293,0.341,0.551,46.5,40.5,9.2,3.5,0.5,12.3,13.6,0.244,0.529,12,81,0.176
2/19/2021,@,MEM,95,109,98.3,112.7,96.7,0.151,0.523,0.518,47.9,75,8.3,10,0.5,18.6,26.5,0.105,0.494,9.9,71.1,0.222
2/21/2021,@,ORL,96,105,96.7,105.8,99.3,0.231,0.44,0.479,49,67.6,10.1,7.8,0.434,9.9,16.4,0.187,0.488,10.5,88.9,0.321
2/23/2021,@,ORL,105,93,106.1,94,99,0.182,0.386,0.552,50.5,58.5,10.1,18,0.523,13.6,17.4,0.148,0.455,10.9,80.4,0.148
2/24/2021,@,NOP,118,128,118.1,128.1,99.9,0.18,0.404,0.614,45.8,66,8,9,0.601,11.9,21.4,0.124,0.611,10.5,70.7,0.2
2/26/2021,,SAC,107,110,110,113.1,97.3,0.39,0.402,0.557,47.9,54.1,6.2,10.5,0.524,10.3,22.2,0.256,0.455,8.5,71.4,0.326
2/28/2021,,NYK,90,109,97,117.4,92.8,0.431,0.444,0.525,49.4,57.1,8.6,6.7,0.451,14.9,16.7,0.347,0.587,10.8,84.6,0.093
3/3/2021,@,TOR,129,105,133.7,108.9,96.5,0.231,0.451,0.643,59,81.3,11.4,9.8,0.637,10.7,30.8,0.143,0.519,13.4,84.1,0.325
3/4/2021,@,NYK,104,114,114.8,125.8,90.6,0.188,0.45,0.6,38.2,59,6.6,3.6,0.575,12.2,14.6,0.15,0.596,12.5,65.7,0.181
3/11/2021,@,CHO,102,105,109.1,112.3,93.5,0.165,0.541,0.559,52.6,71.1,6.4,8.3,0.535,13.3,25,0.129,0.456,8.2,76.5,0.256
3/13/2021,@,BRK,95,100,101.1,106.4,94,0.225,0.36,0.486,56.8,72.2,10.6,15.1,0.449,10.9,28.6,0.169,0.525,11.8,87.2,0.2
3/15/2021,,SAS,99,109,105.6,116.2,93.8,0.301,0.301,0.527,43,56.4,9.6,8.6,0.512,7.8,18.6,0.169,0.639,19.8,72.2,0.036
3/17/2021,,TOR,116,112,121.8,117.6,95.3,0.427,0.387,0.651,64.3,60.5,8.4,10.9,0.587,18.3,39.4,0.373,0.5,8.2,80.4,0.302
3/19/2021,@,HOU,113,100,116.5,103.1,97,0.329,0.341,0.581,56.3,75.7,7.2,7.1,0.518,11.8,27.9,0.294,0.494,12,84.1,0.148
3/21/2021,,CHI,86,100,90.4,105.1,95.2,0.305,0.305,0.462,41.6,62.5,11.6,9.6,0.415,13.1,15.7,0.22,0.55,17.3,76.3,0.15
3/24/2021,@,IND,111,116,111.9,116.9,99.2,0.229,0.337,0.607,52.6,65.9,8.1,14.3,0.596,14.1,16.1,0.145,0.541,8.8,76.6,0.113
3/26/2021,,BRK,111,113,121.3,123.5,91.5,0.644,0.425,0.592,42.4,57.6,6.6,7.8,0.527,8.8,17.5,0.466,0.518,9.2,64.4,0.31
3/27/2021,@,WAS,92,106,88.5,102,103.9,0.224,0.341,0.493,47.3,57.6,8.7,7.1,0.447,16.9,14.6,0.188,0.533,15.9,83.7,0.099
3/29/2021,,TOR,118,104,121.8,107.3,96.9,0.453,0.4,0.656,52.4,68.4,6.2,12,0.607,16.7,24.3,0.36,0.471,11.7,75.6,0.267
3/31/2021,,POR,101,124,100.3,123.1,100.7,0.198,0.314,0.54,45.6,72.5,7,13.5,0.517,14.6,11.9,0.14,0.61,12.2,83.8,0.293
