Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,ORL,107,113,102,107.7,104.9,0.229,0.241,0.586,51.2,59.5,10.5,3.3,0.548,19.4,18.9,0.193,0.534,14.4,76.6,0.216
12/25/2020,,NOP,111,98,114.7,101.3,96.8,0.307,0.493,0.652,46.1,76.3,11.4,4.7,0.613,16.6,11.8,0.253,0.462,17,73.8,0.333
12/29/2020,,MIL,97,144,93.8,139.3,103.4,0.228,0.468,0.558,40,62.2,8.7,14.6,0.538,19.5,7.9,0.152,0.712,14.7,73,0.141
12/30/2020,,MIL,119,108,115.2,104.6,103.3,0.354,0.476,0.628,52.5,62.5,4.8,8.2,0.579,18.8,24.4,0.293,0.471,10.8,72.4,0.118
1/1/2021,@,DAL,83,93,85.1,95.4,97.5,0.321,0.423,0.466,45.6,69,10.3,4.9,0.417,13.6,10,0.231,0.487,15.4,90,0.218
1/4/2021,,OKC,118,90,120.2,91.7,98.1,0.222,0.42,0.664,55.3,73.9,7.1,0,0.667,13.6,11.1,0.123,0.449,14.2,87.8,0.241
1/6/2021,,BOS,105,107,113.8,115.9,92.3,0.321,0.444,0.568,44.2,74.3,2.2,10.9,0.512,8,14,0.272,0.485,6.3,69.2,0.111
1/9/2021,@,WAS,128,124,118.2,114.5,108.3,0.28,0.462,0.613,61,69.6,2.8,8.5,0.581,13.3,23.8,0.215,0.52,5.1,87.9,0.212
1/12/2021,@,PHI,134,137,119,121.6,102,0.231,0.538,0.585,46.9,56.3,5.3,8.5,0.553,13.6,28,0.183,0.583,13.1,66.7,0.176
1/14/2021,@,PHI,108,125,105.2,121.7,102.7,0.321,0.42,0.584,53.9,70,3.9,2.2,0.568,17.8,23.1,0.198,0.64,16.3,86.5,0.244
1/16/2021,,DET,100,120,105.9,127,94.5,0.403,0.433,0.634,44.3,78.1,1.1,11.1,0.567,21.8,14.7,0.358,0.604,10.1,72.2,0.11
1/18/2021,,DET,113,107,118.7,112.4,95.2,0.253,0.4,0.678,52.9,53.5,8.4,13.3,0.653,17.8,18.5,0.2,0.543,14.7,75.6,0.22
1/20/2021,@,TOR,111,102,117.5,108,94.5,0.213,0.5,0.634,52.9,74.4,4.2,12.8,0.6,17.1,21.6,0.188,0.489,11.1,76,0.182
1/22/2021,@,TOR,81,101,85.7,106.8,94.5,0.13,0.403,0.498,41.6,57.6,13.8,9.1,0.474,18.9,10.8,0.104,0.565,19.3,70,0.071
1/23/2021,@,BRK,124,128,119.9,123.8,103.4,0.36,0.517,0.601,39.7,69,6.8,2.2,0.545,7.2,5,0.303,0.645,14.5,76.3,0.253
1/25/2021,@,BRK,85,98,90.9,104.8,93.5,0.202,0.512,0.465,47.9,64.5,3.2,14.9,0.435,11.6,15.7,0.143,0.465,6.9,86,0.224
