Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,BOS,121,122,121.1,122.1,99.9,0.2,0.389,0.618,58.4,41.3,4,9.8,0.589,14,28.9,0.167,0.564,5.4,80.4,0.079
12/25/2020,,GSW,138,99,128.4,92.1,107.5,0.289,0.4,0.68,58.3,50,5.6,7.4,0.667,14.4,25,0.2,0.394,9.1,83.1,0.212
12/27/2020,@,NYK,110,130,109.5,129.4,100.5,0.305,0.4,0.51,48.9,58.5,7,8.6,0.468,9.3,30.9,0.221,0.635,13.4,77.1,0.259
12/29/2020,@,MIA,144,97,139.3,93.8,103.4,0.163,0.554,0.73,60,62.7,13.5,4.8,0.712,14.7,27,0.141,0.538,19.5,92.1,0.152
12/30/2020,@,MIA,108,119,104.6,115.2,103.3,0.127,0.402,0.501,47.5,65,13.6,14,0.471,10.8,27.6,0.118,0.579,18.8,75.6,0.293
1/1/2021,,CHI,126,96,116.5,88.7,108.2,0.353,0.529,0.642,51.2,64.3,14.8,9.8,0.624,14.8,12.2,0.235,0.471,17.3,86.7,0.161
1/4/2021,,DET,125,115,121.7,112,102.7,0.188,0.4,0.679,61.3,65.3,5.8,6.9,0.659,17.1,21.9,0.153,0.526,7.2,87.5,0.122
1/6/2021,,DET,130,115,128.1,113.4,101.5,0.233,0.478,0.655,50,71.4,4.9,7.1,0.65,12.4,22,0.144,0.459,7.6,71.7,0.268
1/8/2021,,UTA,118,131,113,125.5,104.4,0.214,0.429,0.55,47.4,40.9,4.8,11.4,0.515,10.1,18.4,0.173,0.634,8.9,78.3,0.082
1/9/2021,,CLE,100,90,107.5,96.7,93.1,0.214,0.429,0.544,48.9,67.6,11.8,6.6,0.512,14,25,0.167,0.454,13.8,70.8,0.126
1/11/2021,@,ORL,121,99,123.3,100.9,98.1,0.22,0.385,0.606,49.4,54.3,15.3,11.7,0.577,12.3,27.5,0.176,0.489,15.7,68.1,0.11
1/13/2021,@,DET,110,101,112.6,103.4,97.7,0.165,0.506,0.603,50.5,75.6,10.2,15.8,0.594,13.3,22.7,0.106,0.467,13.6,74.5,0.163
1/15/2021,,DAL,112,109,112.4,109.4,99.6,0.26,0.385,0.523,52.8,51.2,5,4.9,0.521,8.5,28.6,0.125,0.531,8.1,78.8,0.062
1/18/2021,@,BRK,123,125,118.2,120.1,104.1,0.229,0.362,0.532,45.6,45.7,8.6,3.8,0.49,4.1,20.8,0.19,0.637,15.4,81.1,0.214
1/21/2021,,LAL,106,113,107.5,114.6,98.6,0.138,0.322,0.574,54.8,61.4,5.1,9.8,0.557,13.2,13.5,0.103,0.574,9.6,87.2,0.136
1/24/2021,,ATL,129,115,132.5,118.1,97.4,0.297,0.341,0.627,65.8,64,4.1,4.5,0.604,13.5,42.1,0.209,0.59,8.9,87.8,0.205
1/27/2021,@,TOR,115,108,114.8,107.8,100.2,0.28,0.473,0.551,56.2,75,9,7.7,0.516,11.8,28,0.204,0.521,10,81.8,0.106
1/29/2021,@,NOP,126,131,122.4,127.2,103,0.229,0.365,0.596,52.1,60.4,4.9,10.4,0.568,10.2,26.7,0.177,0.578,7.7,75.5,0.208
1/30/2021,@,CHO,114,126,114.5,126.6,99.5,0.293,0.549,0.616,52.9,55,6,12.5,0.598,13.9,19,0.195,0.592,8.2,84.4,0.185
2/1/2021,,POR,134,106,130.2,103,102.9,0.125,0.438,0.662,54.1,71.7,9.7,11.3,0.661,10.6,22.5,0.073,0.447,9.1,75.9,0.125
2/3/2021,,IND,130,110,122.2,103.4,106.4,0.137,0.471,0.601,53.5,68.8,12.2,11.5,0.574,10,22.4,0.127,0.511,12.1,84,0.137
2/5/2021,@,CLE,123,105,120.6,102.9,102,0.227,0.227,0.576,60,56,5.9,11.7,0.552,9.3,30.2,0.165,0.505,10,87.2,0.13
2/6/2021,@,CLE,124,99,127.1,101.5,97.5,0.267,0.395,0.645,51.8,53.2,10.3,3.4,0.64,7.7,15.8,0.163,0.488,12,82.2,0.174
2/8/2021,@,DEN,125,112,128.3,114.9,97.5,0.247,0.449,0.633,56.8,53.3,7.2,12.1,0.596,9.2,26.8,0.213,0.516,8.2,83,0.16
