Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,WAS,113,107,106.9,101.2,105.7,0.345,0.322,0.564,54,53.7,10.4,13.8,0.517,13.8,22.2,0.264,0.535,16.6,88.1,0.188
12/26/2020,@,NYK,109,89,116,94.8,93.9,0.25,0.352,0.558,52.2,48.8,9.6,11.1,0.528,10.9,28.6,0.182,0.434,14.7,72.9,0.205
12/27/2020,@,CLE,94,118,93.6,117.5,100.4,0.278,0.468,0.53,46.4,72.7,9,7.4,0.494,19.1,19,0.203,0.577,14,73.8,0.143
12/29/2020,,TOR,100,93,96.3,89.6,103.8,0.393,0.369,0.508,53.5,65.6,9.6,22.2,0.429,15.4,19.6,0.333,0.45,16.5,81.8,0.133
12/31/2020,@,ORL,116,92,112.7,89.3,103,0.165,0.363,0.594,52.9,52.3,6.8,14.9,0.566,12.5,15.6,0.143,0.384,9.5,82.5,0.2
1/2/2021,,CHO,127,112,126.3,111.3,100.6,0.304,0.443,0.709,52.9,74.5,9.9,12.3,0.696,19,21.2,0.215,0.484,10.4,73.1,0.25
1/4/2021,,CHO,118,101,116.6,99.8,101.2,0.242,0.337,0.561,53.9,73.9,6.9,10.6,0.542,8.7,26.4,0.158,0.494,14.3,83.7,0.186
1/6/2021,,WAS,141,136,128.5,123.9,109.7,0.407,0.358,0.738,50,66,8.2,10.5,0.728,14.3,3.7,0.284,0.585,10.6,79.1,0.277
1/7/2021,@,BRK,109,122,99.4,111.3,109.6,0.23,0.299,0.569,49.5,56.1,5.5,10,0.523,17.3,9.8,0.207,0.531,9.9,79.6,0.196
1/9/2021,,DEN,103,115,106.4,118.8,96.8,0.097,0.34,0.48,51.6,53.5,8.3,7,0.471,13,40,0.058,0.567,15,65.1,0.144
1/11/2021,@,ATL,94,112,95.4,113.6,98.6,0.141,0.391,0.481,46.3,54.1,2,21.8,0.446,8.4,17,0.13,0.46,6.7,74.5,0.212
1/12/2021,,MIA,137,134,121.6,119,102,0.245,0.539,0.606,53.1,64,8.9,12.5,0.583,13.1,33.3,0.176,0.553,13.6,72,0.183
1/14/2021,,MIA,125,108,121.7,105.2,102.7,0.293,0.451,0.675,46.1,61.4,14.6,6.4,0.64,16.3,13.5,0.244,0.568,17.8,76.9,0.198
1/16/2021,@,MEM,104,106,100.7,102.7,103.2,0.381,0.298,0.53,55.2,62.2,4.8,15.7,0.482,18.3,31.9,0.274,0.475,9.3,77.6,0.121
1/20/2021,,BOS,117,109,120.2,112,97.3,0.577,0.346,0.598,47.7,55.6,12.3,5.4,0.519,8.4,23.9,0.462,0.539,14.1,75,0.146
1/22/2021,,BOS,122,110,125.2,112.9,97.5,0.296,0.346,0.666,58.4,51.1,9.2,11.7,0.63,17.2,31.3,0.247,0.522,10,77.8,0.178
1/23/2021,@,DET,114,110,111.4,107.5,102.3,0.458,0.277,0.572,53.3,36.8,9.8,13.2,0.506,13.1,25.5,0.361,0.512,13.1,82.2,0.256
1/25/2021,@,DET,104,119,111.4,127.4,93.4,0.213,0.298,0.506,43.4,37.5,12.9,9.4,0.473,8.1,26.5,0.16,0.621,17.2,67.6,0.457
1/27/2021,,LAL,107,106,108.7,107.7,98.5,0.306,0.294,0.555,50.7,58.5,10.2,11.3,0.535,10.2,18.4,0.188,0.523,10.2,83.8,0.186
1/29/2021,@,MIN,118,94,117.2,93.4,100.7,0.437,0.184,0.569,57.3,51.3,10.9,12.2,0.494,8.8,26.1,0.368,0.488,16.7,90.7,0.171
1/31/2021,@,IND,119,110,118.8,109.8,100.1,0.337,0.283,0.563,51.8,44.4,9,14.3,0.533,10.2,30.4,0.228,0.548,15.4,76.9,0.214
2/3/2021,@,CHO,118,111,119.1,112,99.1,0.405,0.304,0.634,51.9,56.1,9.1,12,0.582,16.2,27,0.329,0.529,14.1,75,0.218
2/4/2021,,POR,105,121,107.3,123.6,97.9,0.296,0.333,0.573,41.1,48.7,6.1,4.5,0.525,16.4,19,0.247,0.526,9.2,60.4,0.184
2/6/2021,,BRK,124,108,121.5,105.8,102,0.234,0.287,0.598,60,56.3,11.8,8.5,0.564,12.6,33.3,0.191,0.528,15.1,82.6,0.17
2/9/2021,@,SAC,119,111,112.4,104.8,105.9,0.412,0.235,0.593,60.2,58.5,3.8,8.8,0.535,14.5,27.9,0.329,0.505,9.3,85.5,0.111
