Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,NOP,99,113,95.2,108.6,104,0.135,0.517,0.525,43.8,68.4,9.6,13.2,0.506,17.5,15.9,0.101,0.644,21.3,77.8,0.125
12/26/2020,@,SAS,114,119,109.5,114.3,104.1,0.156,0.427,0.556,46.5,72.7,7.7,13.6,0.536,9.7,20.4,0.115,0.54,13,72,0.11
12/29/2020,@,PHI,93,100,89.6,96.3,103.8,0.156,0.5,0.484,46.5,65.6,11.6,13.2,0.45,16.5,18.2,0.133,0.429,15.4,80.4,0.333
12/31/2020,,NYK,100,83,100.8,83.7,99.2,0.253,0.627,0.542,52.5,61.8,7.1,11.5,0.512,14.8,18.8,0.181,0.381,13.4,83,0.182
1/2/2021,@,NOP,116,120,118.4,122.5,98,0.297,0.527,0.564,44.4,55.3,6.1,8.9,0.495,8,21.7,0.286,0.506,10.4,68.2,0.434
1/4/2021,,BOS,114,126,108.9,120.3,104.7,0.422,0.411,0.534,39.8,55.6,12.4,7.3,0.472,8.6,15.4,0.322,0.577,16.1,70.7,0.345
1/6/2021,@,PHO,115,123,122.8,131.4,93.6,0.405,0.443,0.618,50.6,46.2,6.4,11.6,0.582,11.4,23.3,0.291,0.608,9.7,80,0.265
1/8/2021,@,SAC,144,123,145.6,124.3,98.9,0.242,0.429,0.715,62.9,56.6,8.1,10.6,0.692,10.6,34.3,0.198,0.66,10.5,91.4,0.198
1/10/2021,@,GSW,105,106,104.9,105.9,100.1,0.229,0.396,0.497,48.5,51.3,8,21.3,0.474,8.6,25,0.146,0.478,12.9,74.5,0.183
1/11/2021,@,POR,111,112,112.6,113.7,98.5,0.135,0.528,0.589,50.6,67.5,6.1,12.2,0.556,13.7,17.1,0.135,0.542,12.1,81.8,0.265
1/14/2021,,CHO,111,108,118.1,114.9,94,0.148,0.568,0.592,47.6,82.5,13.8,11.5,0.568,15.4,30.2,0.125,0.569,16.3,65.9,0.103
1/16/2021,,CHO,116,113,114.7,111.8,101.1,0.302,0.57,0.595,47.3,77.8,4.9,15.7,0.541,13.3,16.3,0.267,0.523,12.3,75,0.253
1/18/2021,,DAL,116,93,117.5,94.2,98.7,0.205,0.375,0.605,54.8,52.3,9.1,13,0.568,12.7,23.1,0.182,0.433,14.6,82.2,0.268
1/20/2021,,MIA,102,111,108,117.5,94.5,0.205,0.557,0.532,47.1,77.1,8.5,7.5,0.489,11.1,24,0.182,0.6,17.1,78.4,0.188
1/22/2021,,MIA,101,81,106.8,85.7,94.5,0.107,0.476,0.574,58.4,56.4,11.6,6.5,0.565,19.3,30,0.071,0.474,18.9,89.2,0.104
1/24/2021,@,IND,107,102,106.5,101.6,100.4,0.289,0.389,0.527,48.9,64.9,11.9,16.7,0.494,13.6,25.5,0.2,0.477,15.7,73.3,0.218
1/25/2021,@,IND,114,129,114.5,129.5,99.6,0.29,0.409,0.543,46.4,63.2,9,12.2,0.484,8.7,25.5,0.258,0.59,11.7,78.8,0.474
1/27/2021,,MIL,108,115,107.8,114.8,100.2,0.128,0.585,0.544,43.8,68.4,8,16.3,0.521,10,18.2,0.106,0.516,11.8,72,0.204
1/29/2021,,SAC,124,126,124,126,100,0.384,0.372,0.617,47.9,47.6,14,4.8,0.564,13,30.8,0.314,0.654,19.4,67.6,0.308
1/31/2021,,ORL,115,102,117.6,104.3,97.8,0.244,0.433,0.577,53.3,65.9,8.2,10.9,0.522,9.9,20,0.233,0.482,9.6,86.7,0.28
2/2/2021,@,ORL,123,108,124.6,109.4,98.7,0.301,0.542,0.654,46.5,80,14.2,7.8,0.602,10.5,14,0.277,0.539,14.4,79.1,0.135
2/5/2021,@,BRK,123,117,123.8,117.8,99.4,0.144,0.33,0.596,50.6,44.9,10.1,15.8,0.572,8.8,27.3,0.124,0.594,16.3,78.4,0.275
2/6/2021,@,ATL,121,132,120.3,131.3,100.5,0.351,0.392,0.54,46.9,58.5,9,13.2,0.49,5.1,26.4,0.268,0.696,16.9,85.7,0.392
2/8/2021,@,MEM,128,113,138,121.8,92.8,0.338,0.481,0.724,46.8,66.7,11.9,4.2,0.675,13.7,23.3,0.312,0.5,13.1,61.2,0.299
2/10/2021,@,WAS,137,115,132.3,111,103.6,0.247,0.344,0.664,50,57.1,4.8,9.6,0.629,10.4,20.9,0.215,0.516,12,75.5,0.204
2/11/2021,@,BOS,106,120,106.6,120.7,99.4,0.229,0.337,0.58,39.5,63.4,7,17,0.548,12.5,7.9,0.181,0.57,15.5,67.4,0.256
2/14/2021,,MIN,112,116,110.3,114.2,101.5,0.341,0.363,0.535,48.7,63.2,5.9,7,0.473,9.5,22.2,0.286,0.622,16.6,84.8,0.171
2/16/2021,@,MIL,124,113,118.1,107.6,105,0.231,0.473,0.619,51.8,54.3,7.6,13,0.599,13,18.2,0.165,0.566,15.3,87.8,0.229
2/18/2021,@,MIL,110,96,116.3,101.5,94.6,0.295,0.449,0.624,41.6,68.4,6.3,11.1,0.564,9.3,5.1,0.282,0.455,13.3,70,0.182
2/19/2021,@,MIN,86,81,93.6,88.1,91.9,0.259,0.471,0.454,54.3,57.1,8.7,13.3,0.4,13.7,28.8,0.212,0.44,12.9,85.7,0.096
2/21/2021,,PHI,110,103,114.6,107.3,96,0.222,0.42,0.619,46.4,62.5,5.2,10.4,0.58,13.6,12.8,0.198,0.453,9.1,75.6,0.306
2/23/2021,,PHI,102,109,104.7,111.9,97.4,0.14,0.398,0.517,41.3,72.5,12.3,26.2,0.489,9.2,16,0.118,0.519,16.2,71.4,0.325
2/24/2021,@,MIA,108,116,119.2,128,90.6,0.23,0.595,0.663,43.2,81.1,5.5,7.1,0.635,14.7,8.8,0.189,0.569,10.6,72.5,0.313
2/26/2021,,HOU,122,111,122.7,111.6,99.4,0.303,0.461,0.605,56.5,72.5,6,18.2,0.539,10.6,26.8,0.292,0.516,9.9,84.1,0.187
3/3/2021,,DET,105,129,108.9,133.7,96.5,0.39,0.468,0.582,41,50,6.2,10,0.519,13.4,15.9,0.325,0.637,10.7,69.2,0.143
3/4/2021,@,BOS,125,132,127,134.1,98.4,0.187,0.549,0.635,41.8,80,6.1,2.2,0.61,11.7,21.1,0.154,0.696,14.9,69,0.392
3/11/2021,,ATL,120,121,114.3,115.3,105,0.24,0.385,0.565,48.5,54.8,7.6,8.3,0.526,11.7,24.1,0.198,0.517,11.7,75.5,0.311
3/13/2021,@,CHO,104,114,98.3,107.8,105.8,0.188,0.479,0.5,48,67.6,9.5,18.8,0.464,13.3,23.2,0.156,0.611,23.2,81,0.185
3/14/2021,@,CHI,95,118,94,116.8,101,0.233,0.5,0.479,38.8,67.6,4.9,13.2,0.444,10.8,13.2,0.167,0.515,9.3,68.9,0.186
3/17/2021,@,DET,112,116,117.6,121.8,95.3,0.395,0.465,0.555,35.7,73,7.3,13,0.5,8.2,19.6,0.302,0.587,18.3,60.6,0.373
3/19/2021,,UTA,112,115,119,122.1,94.2,0.169,0.53,0.628,39.2,77.5,9.6,10.8,0.608,10.1,7.1,0.133,0.541,12.4,75.7,0.473
3/21/2021,@,CLE,105,116,98.7,109.1,106.3,0.2,0.484,0.508,40.7,51.4,12.2,6.8,0.468,11.9,16.1,0.168,0.617,22.5,80,0.273
3/22/2021,@,HOU,99,117,100,118.1,99,0.218,0.46,0.519,48.4,51.4,6.1,9.3,0.483,12,17.8,0.172,0.533,9.8,78.3,0.233
3/24/2021,,DEN,135,111,140.1,115.2,96.3,0.258,0.539,0.681,49.5,68.9,3.1,10.9,0.64,8.3,23.7,0.236,0.49,9.4,67.9,0.153
3/26/2021,,PHO,100,104,103.7,107.8,96.4,0.178,0.5,0.515,44.7,54.1,5.2,7.4,0.478,9.3,15.6,0.156,0.528,12.2,77.5,0.1
3/28/2021,,POR,117,122,118.2,123.2,99,0.379,0.483,0.576,48.9,43.6,3,9.5,0.529,10.6,26.1,0.287,0.526,6.9,71.7,0.206
