Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/22/2020,@,LAL,116,109,112.1,105.3,103.5,0.204,0.43,0.572,47.1,50,9.7,5.8,0.548,13.6,22.9,0.151,0.525,16.7,78.4,0.296
12/25/2020,@,DEN,121,108,130.3,116.3,92.8,0.324,0.514,0.715,54.3,78,9.7,8.9,0.682,17.6,29,0.27,0.525,12.1,74.4,0.284
12/27/2020,,DAL,73,124,80.3,136.3,90.9,0.263,0.434,0.43,40,50,2.2,4.3,0.368,12.4,10.4,0.224,0.575,5.7,73.8,0.276
12/29/2020,,MIN,124,101,126.4,103,98.1,0.182,0.352,0.652,54.1,68.1,6.1,19.6,0.625,12,20,0.159,0.489,12.7,78,0.157
12/30/2020,,POR,128,105,126.3,103.6,101.3,0.232,0.4,0.611,53.4,63.8,12.8,15.8,0.589,8.7,23.4,0.168,0.5,15.7,87.8,0.382
1/1/2021,@,UTA,100,106,111,117.7,90.1,0.282,0.388,0.523,48.3,57.6,6.7,17,0.465,7.7,26.7,0.247,0.545,12,70.5,0.101
1/3/2021,@,PHO,112,107,122.5,117,91.5,0.229,0.349,0.613,48.1,60,5.5,4.8,0.584,9.9,19.5,0.181,0.56,13,80.6,0.307
1/5/2021,,SAS,113,116,116.5,119.6,97,0.151,0.407,0.616,50.6,67.4,6.2,12.5,0.587,12.4,17.5,0.14,0.563,9,77.6,0.083
1/6/2021,@,GSW,108,101,112.1,104.9,96.3,0.309,0.42,0.587,57.8,52.8,6.2,5.4,0.512,17.1,30.8,0.309,0.5,12.1,81.8,0.174
1/8/2021,@,GSW,105,115,112.1,122.8,93.7,0.157,0.373,0.592,49.3,57.5,6.4,12.2,0.566,16.9,25.6,0.133,0.61,14.3,75,0.183
1/10/2021,,CHI,130,127,129.2,126.2,100.6,0.272,0.413,0.631,47.9,62.2,12.9,11.4,0.598,8.8,25.5,0.217,0.727,20.7,88.5,0.195
1/13/2021,,NOP,111,106,122.1,116.6,90.9,0.365,0.5,0.646,42.9,74.3,4.4,10,0.595,10.4,7.7,0.311,0.534,8.7,73.3,0.136
1/15/2021,@,SAC,138,100,146.5,106.2,94.2,0.225,0.393,0.706,59.5,55.8,10.6,5.1,0.685,8.4,34.3,0.18,0.518,13.1,79.5,0.141
1/17/2021,,IND,129,96,125.8,93.6,102.6,0.23,0.448,0.673,61.2,56.3,3.9,5.9,0.661,14.3,25,0.161,0.478,14.3,87.8,0.124
1/20/2021,,SAC,115,96,111.3,92.9,103.3,0.209,0.407,0.612,55.2,58.5,13.6,10.3,0.57,14.6,14.6,0.198,0.529,16.5,91.3,0.058
1/22/2021,,OKC,120,106,123.7,109.3,97,0.298,0.393,0.632,62.3,48.8,8.2,15.6,0.571,12,26.5,0.286,0.552,10.6,90.7,0.115
1/24/2021,,OKC,108,100,110.1,102,98.1,0.174,0.5,0.545,47.4,63.4,4.1,3.3,0.522,9.2,17,0.13,0.479,9,76,0.095
