Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/22/2020,,LAC,109,116,105.3,112.1,103.5,0.383,0.358,0.576,52.9,57.9,3.9,3.8,0.525,16.7,21.6,0.296,0.548,13.6,77.1,0.151
12/25/2020,,DAL,138,115,139.5,116.3,98.9,0.264,0.429,0.679,66.3,64.7,9.1,7.8,0.665,13.6,41.5,0.187,0.572,8.7,92.3,0.241
12/27/2020,,MIN,127,91,119,85.3,106.7,0.2,0.389,0.648,48.9,64,5.6,20.6,0.628,14.8,13.9,0.156,0.398,13.5,70.7,0.087
12/28/2020,,POR,107,115,107.1,115.1,99.9,0.207,0.31,0.564,47.7,48.8,6,10.9,0.529,12.9,13.6,0.172,0.554,8.4,83.3,0.141
12/30/2020,@,SAS,121,107,121.7,107.6,99.4,0.244,0.317,0.666,54.7,54.3,4,4.8,0.646,15.8,17.9,0.183,0.517,9.3,85.1,0.195
1/1/2021,@,SAS,109,103,108.4,102.5,100.5,0.158,0.327,0.504,56.3,65.9,8,13.7,0.475,10.7,30.2,0.129,0.5,11.9,84,0.212
1/3/2021,@,MEM,108,94,115.8,100.8,93.3,0.213,0.393,0.555,49.5,58.5,9.7,8.1,0.528,9.3,25,0.157,0.458,10,72.5,0.074
1/5/2021,@,MEM,94,92,95.6,93.6,98.3,0.126,0.356,0.512,57.8,63.2,7.1,13.1,0.489,15.6,21.4,0.103,0.471,12.3,89.6,0.115
1/7/2021,,SAS,109,118,111.5,120.7,97.8,0.244,0.349,0.572,54.5,48.8,2,7,0.558,12,20.9,0.151,0.554,5.7,86.7,0.174
1/8/2021,,CHI,117,115,120.2,118.2,97.3,0.333,0.358,0.63,50.6,51.2,3.1,12.3,0.58,13.9,23.8,0.284,0.56,11,78,0.143
1/10/2021,@,HOU,120,102,114,96.9,105.3,0.264,0.319,0.591,53.3,60.9,12.3,16.3,0.56,13.6,25,0.198,0.478,17.3,75,0.178
1/12/2021,@,HOU,117,100,112.5,96.1,104,0.321,0.381,0.61,56.7,61.9,9.6,21.1,0.583,17.3,25.6,0.226,0.454,11.1,81.5,0.124
1/13/2021,@,OKC,128,99,132.2,102.2,96.8,0.232,0.389,0.611,54.3,55.3,6.2,10.9,0.584,7.9,26.7,0.179,0.488,10.4,80.9,0.174
1/15/2021,,NOP,112,95,116.8,99,95.9,0.28,0.398,0.536,48.4,79.5,11.5,10.5,0.5,5.4,26,0.204,0.529,18.3,75.6,0.047
1/18/2021,,GSW,113,115,112.6,114.6,100.3,0.398,0.349,0.579,61,57.5,6,10,0.536,14.1,30.8,0.289,0.575,11.9,88.4,0.172
1/21/2021,@,MIL,113,106,114.6,107.5,98.6,0.17,0.42,0.597,45.2,61,8.1,13.6,0.574,9.6,12.8,0.136,0.557,13.2,86.5,0.103
1/23/2021,@,CHI,101,90,99.6,88.7,101.4,0.392,0.241,0.545,48.3,55.6,6.9,6.8,0.481,16.3,12.5,0.316,0.44,16.1,78.7,0.19
1/25/2021,@,CLE,115,108,122.3,114.8,94.1,0.322,0.368,0.579,47.6,50,7.4,10.8,0.54,11.6,34.1,0.241,0.517,15.1,62.5,0.221
1/27/2021,@,PHI,106,107,107.7,108.7,98.5,0.291,0.279,0.546,49.3,48.8,5.1,3.3,0.523,10.2,16.2,0.186,0.535,10.2,81.6,0.188
1/28/2021,@,DET,92,107,100.9,117.3,91.2,0.136,0.318,0.493,53.7,69.4,2.2,5.9,0.477,10.5,26.7,0.091,0.54,7.9,86.5,0.149
1/30/2021,@,BOS,96,95,104.3,103.2,92.1,0.226,0.369,0.52,51.7,54.1,8.7,6.6,0.494,13.2,28.3,0.155,0.524,14.5,78,0.11
2/1/2021,@,ATL,107,99,114.6,106,93.4,0.312,0.299,0.611,46.3,60,10.7,14.3,0.565,11.2,11.8,0.26,0.545,16.6,81.8,0.179
2/4/2021,,DEN,114,93,120,97.9,95,0.272,0.296,0.629,48.8,63,10.5,10.9,0.617,15,23.5,0.173,0.435,13.2,66.7,0.141
2/6/2021,,DET,135,129,118.5,113.2,94.3,0.308,0.209,0.653,53.9,62.7,10.5,9.6,0.61,18.2,25.7,0.264,0.564,15.8,78,0.245
2/8/2021,,OKC,119,112,106.5,100.2,101.2,0.305,0.4,0.552,51.8,63.6,6.3,16.7,0.511,12.2,20,0.232,0.445,9.2,76.6,0.127
2/10/2021,,OKC,114,113,104.8,103.9,98.5,0.27,0.393,0.573,48.3,52.4,5.5,8.7,0.528,13.8,13.3,0.225,0.505,10.9,84.1,0.12
2/12/2021,,MEM,115,105,115.2,105.2,99.8,0.388,0.353,0.578,58.8,60.5,9,7.8,0.541,15.3,32.5,0.271,0.563,16.1,85,0.188
2/14/2021,@,DEN,105,122,106,123.2,99,0.333,0.322,0.526,49.5,67.5,4,10.5,0.494,9.1,17.4,0.218,0.571,8.3,80.9,0.294
2/16/2021,@,MIN,112,104,114.9,106.7,97.5,0.273,0.338,0.649,50,47.6,8.2,13.6,0.617,17.3,18.2,0.221,0.505,13.2,74.4,0.108
2/18/2021,,BRK,98,109,106.5,118.5,92,0.169,0.361,0.55,50,52.5,7.6,10.5,0.53,15.2,24.4,0.12,0.61,12.9,78.4,0.195
2/20/2021,,MIA,94,96,96.6,98.7,97.3,0.202,0.536,0.514,46.7,75.8,5.1,10.5,0.47,13.3,13.3,0.179,0.471,12.8,78.7,0.188
2/22/2021,,WAS,124,127,104.9,107.4,107.1,0.163,0.423,0.556,47.9,59.2,7.6,15.5,0.543,15.2,21.4,0.106,0.536,12.6,86.8,0.25
2/24/2021,@,UTA,89,114,96.5,123.6,92.2,0.235,0.388,0.474,45.9,50,5.4,10.3,0.447,13,23.5,0.153,0.598,11.4,70.2,0.115
2/26/2021,,POR,102,93,109.5,99.9,93.1,0.318,0.307,0.508,53.6,67.6,9.7,15.2,0.46,8.2,30,0.239,0.452,14,78.7,0.217
2/28/2021,,GSW,117,91,108.9,84.7,107.4,0.447,0.365,0.575,63.2,55,13,11.5,0.535,15.7,30.4,0.306,0.453,17.5,93.9,0.151
3/2/2021,,PHO,104,114,112,122.8,92.9,0.215,0.392,0.601,49.3,45,6.5,16.7,0.576,12.2,14.3,0.165,0.597,12.9,85.3,0.286
3/3/2021,@,SAC,120,123,129.3,132.5,92.8,0.151,0.29,0.605,57.7,55.1,7.5,5.5,0.591,10,38.5,0.108,0.675,12.8,81.3,0.188
3/12/2021,,IND,105,100,104.5,99.6,100.4,0.513,0.289,0.564,50,58.8,10,9.6,0.493,13.9,15,0.395,0.466,14.1,79.2,0.205
3/15/2021,@,GSW,128,97,127.5,96.6,100.4,0.321,0.346,0.719,60.5,73.5,9,7.1,0.699,17.6,25,0.244,0.513,19.7,81.3,0.203
3/16/2021,,MIN,137,121,135.6,119.8,101,0.322,0.299,0.69,55.8,74,3,5.5,0.649,11.6,27.8,0.276,0.583,10.7,80.5,0.178
3/18/2021,,CHO,116,105,115.4,104.5,100.5,0.217,0.424,0.575,52.2,52.3,7,11.1,0.549,9.8,23.4,0.163,0.56,17.1,82.2,0.145
3/20/2021,,ATL,94,99,102.4,107.8,91.8,0.296,0.321,0.513,51.5,52.9,6.5,4.9,0.469,14.9,28.3,0.222,0.464,7.3,70.9,0.082
3/21/2021,@,PHO,94,111,96.1,113.5,97.8,0.329,0.294,0.483,44.6,57.1,3.1,3.6,0.441,10.2,14.3,0.224,0.534,9.3,79.1,0.207
3/23/2021,@,NOP,111,128,108.9,125.6,101.9,0.353,0.435,0.565,39.1,69.4,9.8,6.6,0.529,11.7,12.5,0.247,0.578,11.4,71.8,0.267
3/25/2021,,PHI,101,109,99.1,106.9,101.9,0.423,0.333,0.546,51.9,64.7,9.8,0,0.494,17.8,17.9,0.308,0.594,18.3,83.3,0.175
3/26/2021,,CLE,100,86,99.5,85.5,100.6,0.321,0.333,0.562,54.9,60.5,14.9,5.6,0.526,20.5,25,0.231,0.419,18.5,78.3,0.238
3/28/2021,,ORL,96,93,101.6,98.5,94.5,0.28,0.488,0.521,50.5,73.5,9.5,9.1,0.482,11.5,16.3,0.207,0.449,9.5,81.5,0.159
3/31/2021,,MIL,97,112,95.1,109.8,102,0.253,0.414,0.502,48.8,62.9,8.8,9.4,0.46,18.5,23.9,0.195,0.62,19.5,80.6,0.177
