Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/26/2020,@,CHO,109,107,104.7,102.8,104.1,0.273,0.409,0.553,53.5,62.5,9.6,11.5,0.511,14,20.9,0.216,0.468,10.8,77.6,0.215
12/28/2020,,UTA,109,110,109.9,110.9,99.2,0.221,0.442,0.578,46.3,52.5,9.1,10,0.552,13.7,16.7,0.163,0.576,14.8,78.9,0.128
12/29/2020,,ORL,107,118,104.4,115.1,102.5,0.218,0.391,0.561,50.5,46.5,2.9,9.5,0.557,17.3,22.7,0.115,0.547,9.6,75.5,0.135
12/31/2020,,NOP,80,113,82.4,116.3,97.1,0.188,0.6,0.462,40.8,80,6.2,5.5,0.469,18,13.7,0.063,0.555,11.6,70.2,0.132
1/2/2021,@,ORL,108,99,108.8,99.7,99.3,0.244,0.477,0.567,48.6,57.9,5,7.1,0.517,9.5,13,0.221,0.417,5,75.4,0.083
1/4/2021,@,MIA,90,118,91.7,120.2,98.1,0.342,0.608,0.495,44.7,69,6.1,8.5,0.449,14.2,12.2,0.241,0.667,13.6,88.9,0.123
1/6/2021,@,NOP,111,110,107.6,106.7,103.1,0.184,0.529,0.59,42.2,70,9.7,7.5,0.569,13,8.5,0.138,0.517,13.1,79.1,0.202
1/8/2021,@,NYK,101,89,105.8,93.3,95.4,0.241,0.391,0.525,55.9,42.1,2.1,10.1,0.5,10.3,22.4,0.161,0.401,3.7,82.3,0.125
1/10/2021,@,BRK,129,116,124.1,111.6,103.9,0.189,0.433,0.662,44.2,49,11.5,7.8,0.628,9.3,7.5,0.178,0.565,15.1,83.8,0.235
1/12/2021,,SAS,102,112,102,112,100,0.349,0.313,0.533,53.1,50,1,8.3,0.476,12,15.2,0.277,0.484,3.7,86.5,0.211
1/13/2021,,LAL,99,128,102.2,132.2,96.8,0.221,0.36,0.525,45.7,62.2,4.1,10.3,0.488,10.4,19.1,0.174,0.584,7.9,73.3,0.179
1/15/2021,,CHI,127,125,109.2,107.5,105.3,0.229,0.429,0.549,44,54.2,10.3,4.4,0.529,8.7,13,0.152,0.588,19,80.4,0.198
1/19/2021,@,DEN,101,119,97.9,115.4,103.1,0.267,0.5,0.525,41.4,61.1,7.8,6.3,0.5,16.5,18.4,0.174,0.505,11.2,64,0.124
1/22/2021,@,LAC,106,120,109.3,123.7,97,0.149,0.483,0.572,37.7,58.5,8.2,2,0.552,10.6,9.3,0.115,0.571,12,73.5,0.286
1/24/2021,@,LAC,100,108,102,110.1,98.1,0.147,0.368,0.494,52.6,52.4,7.1,4.3,0.479,9,24,0.095,0.522,9.2,83,0.13
1/25/2021,@,POR,125,122,128.6,125.5,97.2,0.417,0.476,0.629,46.2,58.1,5.1,10.5,0.619,7.4,20.5,0.25,0.541,6.9,69.4,0.163
