Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,,DAL,106,102,105.5,101.5,100.4,0.342,0.38,0.583,55.2,55.3,7,14.6,0.551,16.5,15.4,0.241,0.476,10.2,87.5,0.247
12/26/2020,@,SAC,103,106,101.6,104.6,101.3,0.133,0.449,0.497,41.7,61,7.9,7.9,0.474,9.6,19.6,0.102,0.483,15.2,66.7,0.267
12/27/2020,@,SAC,116,100,118.5,102.2,97.9,0.117,0.372,0.587,53,73.9,6.1,5.7,0.564,8.3,18.2,0.106,0.539,14.7,92.3,0.237
12/29/2020,,NOP,111,86,122.8,95.1,90.4,0.226,0.56,0.601,51.2,64.9,7.7,7.5,0.554,9.8,26.1,0.214,0.5,15.9,81.6,0.117
12/31/2020,@,UTA,106,95,111.2,99.7,95.3,0.119,0.393,0.6,47.1,63.4,5.2,12,0.589,14.5,12.2,0.083,0.488,12.3,78.3,0.155
1/1/2021,@,DEN,106,103,114.5,111.3,92.6,0.276,0.461,0.622,49.3,64.9,1.1,7,0.572,16.6,21.1,0.25,0.523,10.6,78.4,0.151
1/3/2021,,LAC,107,112,117,122.5,91.5,0.373,0.44,0.613,51.9,62.2,4.4,5.6,0.56,13,19.4,0.307,0.584,9.9,80.5,0.181
1/6/2021,,TOR,123,115,131.4,122.8,93.6,0.289,0.482,0.657,49.4,75,4.3,6.8,0.608,9.7,20,0.265,0.582,11.4,76.7,0.291
1/8/2021,@,DET,105,110,99,103.7,96.1,0.143,0.571,0.543,52.1,58.5,9.4,12.5,0.544,17.8,19.6,0.066,0.472,12,82,0.278
1/9/2021,@,IND,125,117,127.6,119.4,98,0.181,0.436,0.616,43.5,71.7,6.1,3.2,0.574,1.9,9.3,0.181,0.543,8.9,73.5,0.185
1/11/2021,@,WAS,107,128,111,132.8,96.4,0.345,0.31,0.534,44.2,53.8,3.1,10.3,0.471,5.6,17,0.287,0.603,6.3,70.8,0.185
1/18/2021,@,MEM,104,108,107.1,111.2,97.1,0.182,0.409,0.547,52.4,75,8.2,7,0.54,15.9,27.9,0.102,0.56,14,78,0.181
