Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,DEN,124,122,113.3,111.5,99.1,0.304,0.304,0.536,54,60,4.6,10.1,0.49,10.8,33.3,0.235,0.52,12.1,78.3,0.204
12/26/2020,,PHO,106,103,104.6,101.6,101.3,0.384,0.267,0.527,58.3,51.3,3.9,16.7,0.483,15.2,33.3,0.267,0.474,9.6,80.4,0.102
12/27/2020,,PHO,100,116,102.2,118.5,97.9,0.329,0.303,0.575,47,58.3,5.1,6.8,0.539,14.7,7.7,0.237,0.564,8.3,81.8,0.106
12/29/2020,,DEN,125,115,126.2,116.1,99.1,0.234,0.351,0.603,48.7,71.7,9.1,3.8,0.574,8.8,27.3,0.181,0.611,17.5,78.1,0.198
12/31/2020,@,HOU,119,122,114.3,117.1,104.2,0.25,0.344,0.558,50,51.1,10.6,10,0.526,12.3,28.6,0.188,0.599,15.7,75.6,0.221
1/2/2021,@,HOU,94,102,97.2,105.4,96.7,0.233,0.311,0.474,49.5,31.4,5.2,10,0.439,12.4,25,0.167,0.525,12.5,84.6,0.21
1/4/2021,@,GSW,106,137,97.2,125.6,109,0.433,0.389,0.495,52,58.8,4.6,11.1,0.433,11.6,19.6,0.311,0.644,9.6,93.2,0.124
1/6/2021,,CHI,128,124,130.3,126.2,98.3,0.297,0.407,0.622,47.6,63.8,8.1,5.7,0.593,6.4,26.7,0.22,0.602,12.3,73,0.129
1/8/2021,,TOR,123,144,124.3,145.6,98.9,0.346,0.42,0.659,37.1,78.3,9.1,15.4,0.66,10.5,8.6,0.198,0.692,10.6,65.7,0.198
1/9/2021,,POR,99,125,94.3,119.1,104.9,0.432,0.37,0.513,48.5,63.6,3.8,8.5,0.457,13.5,12.8,0.309,0.525,6.8,82,0.2
1/11/2021,,IND,127,122,122.2,117.4,103.9,0.274,0.381,0.675,54.3,61.7,5.8,15.5,0.649,16.1,20.6,0.214,0.552,10.3,78.7,0.155
1/13/2021,,POR,126,132,130.4,136.6,96.6,0.31,0.452,0.66,52.5,79.5,4.1,4.8,0.637,12,23.5,0.226,0.617,7.3,73.9,0.233
1/15/2021,,LAC,100,138,106.2,146.5,94.2,0.2,0.306,0.541,40.5,57.5,4.2,3.7,0.518,13.1,20.5,0.141,0.685,8.4,65.7,0.18
1/17/2021,,NOP,123,128,125.9,131,97.7,0.198,0.429,0.622,40.7,48.9,7.2,11.1,0.588,9.2,19,0.176,0.594,11.5,64.1,0.318
1/20/2021,@,LAC,96,115,92.9,111.3,103.3,0.14,0.326,0.526,44.8,64.1,10.6,7.8,0.529,16.5,8.7,0.058,0.57,14.6,85.4,0.198
1/22/2021,,NYK,103,94,108,98.6,95.4,0.231,0.374,0.514,49.1,55.3,6.3,19.4,0.484,5.6,22.6,0.165,0.41,9.5,72.9,0.181
1/27/2021,@,ORL,121,107,123.4,109.2,98,0.283,0.359,0.585,51.5,66.7,8.2,4.3,0.565,12.7,36.2,0.185,0.469,11.9,66,0.177
1/29/2021,@,TOR,126,124,126,124,100,0.397,0.462,0.687,52.1,72.1,7,9.3,0.654,19.4,32.4,0.308,0.564,13,69.2,0.314
1/30/2021,@,MIA,104,105,112.5,113.5,92.5,0.129,0.529,0.579,51.3,53.7,13,6.7,0.582,15.9,28.6,0.059,0.539,14.5,76.3,0.286
2/1/2021,@,NOP,118,109,115.7,106.9,102,0.295,0.489,0.593,53.1,73.8,2.9,11.3,0.557,16.7,31,0.227,0.441,8.2,69.6,0.198
2/3/2021,,BOS,116,111,119,113.9,97.5,0.25,0.402,0.568,49.4,54.8,7.2,3.8,0.527,8.9,26.1,0.207,0.517,11.6,74.4,0.256
2/6/2021,,DEN,119,114,123.5,118.3,96.4,0.264,0.385,0.586,48.9,68.2,5.2,11.3,0.56,6.4,22.7,0.187,0.531,8,72.9,0.113
2/7/2021,@,LAC,113,110,113,110,100,0.16,0.309,0.562,49.5,54.3,5,5.6,0.543,10.7,22.9,0.117,0.455,7.6,71.9,0.202
2/9/2021,,PHI,111,119,104.8,112.4,105.9,0.192,0.424,0.517,39.8,55.8,5.7,12.3,0.505,9.3,14.5,0.111,0.535,14.5,72.1,0.329
2/12/2021,,ORL,112,123,113.1,124.2,99,0.229,0.398,0.613,50,76.7,8.1,1.8,0.59,16.5,20,0.169,0.588,9.1,77.3,0.176
2/14/2021,,MEM,110,124,108.4,122.2,101.5,0.317,0.402,0.589,43.4,53.7,7.9,6.8,0.549,14.6,12.8,0.244,0.58,8.9,75.7,0.16
2/15/2021,,BRK,125,136,128.3,139.5,97.5,0.135,0.344,0.614,53.9,47.1,6.2,14.3,0.594,11.3,36.6,0.115,0.725,13.7,74.3,0.079
2/18/2021,,MIA,110,118,108.2,116,101.7,0.172,0.441,0.55,49.4,67.4,6.9,4.9,0.543,13,26,0.097,0.579,12.3,79.5,0.084
2/20/2021,@,CHI,114,122,114.5,122.6,99.5,0.224,0.296,0.529,51.9,50,8,5.1,0.49,6.1,25,0.184,0.665,13.6,93.5,0.159
2/21/2021,@,MIL,115,128,109.3,121.7,105.2,0.2,0.33,0.528,43.4,65.9,5.7,4.8,0.5,9.9,25,0.15,0.55,13.8,67.4,0.322
2/23/2021,@,BRK,118,127,117.1,126,100.8,0.218,0.356,0.619,48.1,55.6,6,14.3,0.603,13.6,13.9,0.149,0.59,7.2,76.7,0.247
2/25/2021,@,NYK,121,140,116.9,135.3,103.5,0.388,0.412,0.608,44.2,59.5,11.6,0,0.565,13.9,19,0.294,0.695,14.3,74.3,0.218
2/26/2021,@,DET,110,107,113.1,110,97.3,0.461,0.36,0.514,52.1,64.9,5.1,12.2,0.455,8.5,28.6,0.326,0.524,10.3,77.8,0.256
2/28/2021,,CHO,126,127,126.6,127.6,99.5,0.185,0.391,0.633,47.1,64,6,3.8,0.63,9.1,23.1,0.109,0.608,14.4,77.4,0.313
3/3/2021,,LAL,123,120,132.5,129.3,92.8,0.238,0.313,0.696,42.3,66.7,5.4,1.5,0.675,12.8,18.8,0.188,0.591,10,61.5,0.108
3/4/2021,@,POR,119,123,124.6,128.8,95.5,0.155,0.282,0.541,55.4,51,3.1,6,0.529,6,36,0.097,0.563,7.5,78.6,0.273
