Date,HomeAway,Opp,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OffTOV%,OffORB%,OffFT/FGA,DeFG%,DefTOV%,DefDRB%,DefFT/FGA
12/23/2020,@,POR,120,100,122.1,101.8,98.3,0.202,0.532,0.586,59.6,55.8,3.1,5.1,0.559,9.7,26.1,0.16,0.467,5.7,88.7,0.152
12/26/2020,,MIN,111,116,108.5,113.4,102.3,0.394,0.362,0.503,58.8,41.7,4.9,5.6,0.436,14,40.4,0.309,0.51,7.6,76,0.129
12/28/2020,@,OKC,110,109,110.9,109.9,99.2,0.163,0.419,0.597,53.8,55.8,9.1,12.5,0.576,14.8,21.1,0.128,0.552,13.7,83.3,0.163
12/31/2020,,PHO,95,106,99.7,111.2,95.3,0.226,0.405,0.514,52.9,45.7,8.4,5.9,0.488,12.3,21.7,0.155,0.589,14.5,87.8,0.083
1/1/2021,,LAC,106,100,117.7,111,90.1,0.157,0.472,0.557,51.7,68.3,3.3,5.8,0.545,12,29.5,0.101,0.465,7.7,73.3,0.247
1/3/2021,@,SAS,130,109,122.9,103,105.8,0.213,0.461,0.668,55.9,59.2,3.8,12.8,0.669,16.3,22.5,0.124,0.448,5.8,77.4,0.143
1/5/2021,@,BRK,96,130,93.8,127.1,102.3,0.314,0.395,0.49,44.6,51.5,5.9,5.3,0.448,13.3,17.3,0.221,0.634,10.7,80,0.129
1/6/2021,@,NYK,100,112,103.7,116.1,96.4,0.121,0.484,0.522,46.7,50,5.2,13.8,0.516,12.7,21.3,0.066,0.563,11.2,74.4,0.161
1/8/2021,@,MIL,131,118,125.5,113,104.4,0.134,0.546,0.638,52.6,63.3,5.7,14.3,0.634,8.9,21.7,0.082,0.515,10.1,81.6,0.173
1/10/2021,@,DET,96,86,109,97.6,88.1,0.268,0.427,0.524,61.8,48.6,3.4,11.1,0.494,12.4,36.4,0.183,0.391,6.8,81,0.207
1/12/2021,@,CLE,117,87,125.5,93.3,93.2,0.143,0.536,0.655,54.5,61.9,8.6,13.6,0.643,15.2,26.3,0.107,0.433,11.1,76,0.1
1/15/2021,,ATL,116,92,112.5,89.2,103.1,0.152,0.478,0.591,56.4,62.8,6.8,9.4,0.576,16.2,26.7,0.109,0.44,13.2,83.7,0.12
1/17/2021,@,DEN,109,105,121.7,117.2,89.6,0.368,0.487,0.617,40.9,61.5,7.8,9.5,0.612,12.8,19.4,0.211,0.47,7.8,55.8,0.11
1/19/2021,,NOP,118,102,123.2,106.5,95.8,0.2,0.553,0.638,58.7,65.1,4.2,10.1,0.629,13.1,28.2,0.129,0.484,7.3,81.1,0.105
1/21/2021,,NOP,129,118,125.2,114.5,103.1,0.284,0.443,0.652,48.8,61.4,7.8,13.3,0.597,13.2,20.5,0.273,0.559,14.8,75.6,0.271
1/23/2021,,GSW,127,108,122.2,103.9,103.9,0.234,0.532,0.612,62,62.2,5.8,7.4,0.585,13.4,31.1,0.181,0.527,9.9,91.5,0.108
1/26/2021,,NYK,108,94,121.1,105.4,89.2,0.239,0.522,0.531,54.6,64.9,6.7,8.9,0.484,5.6,32.7,0.207,0.494,10.8,80,0.145
1/27/2021,,DAL,116,104,120.4,107.9,96.4,0.231,0.451,0.579,58.1,47.6,7.3,12.5,0.549,8.2,25.6,0.176,0.527,7.8,90.7,0.088
1/29/2021,,DAL,120,101,124.3,104.6,96.5,0.299,0.552,0.61,58.3,55.3,8.3,9.4,0.552,13.2,34.7,0.276,0.483,10.1,83,0.209
1/31/2021,@,DEN,117,128,124.7,136.4,93.8,0.52,0.627,0.635,49.4,87.5,3.2,6.8,0.56,13.2,23.8,0.44,0.644,7.7,80,0.184
2/2/2021,,DET,117,105,117.5,105.4,99.6,0.354,0.512,0.617,48.9,60.5,9,9.1,0.561,12.1,19,0.305,0.468,12.8,75,0.194
2/4/2021,@,ATL,112,91,117.4,95.4,95.4,0.143,0.297,0.579,51.5,43.2,7.3,6,0.555,12.6,27.9,0.121,0.372,9.4,69,0.184
2/5/2021,@,CHO,138,121,135.3,118.6,102,0.207,0.575,0.727,52.4,66.7,4.9,13,0.701,14.4,18.8,0.184,0.514,5.9,73.1,0.135
2/7/2021,@,IND,103,95,104.6,96.5,98.5,0.228,0.457,0.509,57.1,57.9,2,6.3,0.484,12.1,30.2,0.152,0.441,8.2,84.6,0.14
2/9/2021,,BOS,122,108,135,119.5,90.4,0.321,0.571,0.636,53.9,70,4.4,12.3,0.583,9.4,29.4,0.286,0.517,7.7,73.8,0.221
2/12/2021,,MIL,129,115,123,109.7,104.8,0.415,0.463,0.665,58.2,51.2,3.8,8.5,0.61,14.9,20.6,0.354,0.522,8.8,86.7,0.207
2/13/2021,,MIA,112,94,111.5,93.5,100.5,0.341,0.541,0.573,52.7,66.7,10.9,14,0.529,13.3,22.2,0.259,0.477,15.4,82.6,0.14
2/15/2021,,PHI,134,123,132.7,121.8,101,0.36,0.523,0.672,46.2,40,8.9,5.6,0.628,9.9,18.9,0.302,0.543,10.3,70.7,0.223
2/17/2021,@,LAC,114,96,114.6,96.5,99.5,0.204,0.408,0.534,53,45.2,12.1,5,0.495,10.9,30.9,0.173,0.494,14.6,80,0.128
2/19/2021,@,LAC,112,116,115.8,120,96.7,0.244,0.395,0.588,45.8,31.7,7.2,10.2,0.547,9.5,15,0.209,0.539,10,74.4,0.225
2/22/2021,,CHO,132,110,126.7,105.6,104.1,0.2,0.647,0.714,56.3,75.6,6.7,13.2,0.694,19.2,22.9,0.165,0.522,14,82.2,0.191
2/24/2021,,LAL,114,89,123.6,96.5,92.2,0.172,0.552,0.609,54.1,68.3,7.6,1.9,0.598,11.4,29.8,0.115,0.447,13,76.5,0.153
2/26/2021,@,MIA,116,124,116.4,124.4,99.7,0.245,0.489,0.557,41.9,60,9,5.5,0.505,8,18.8,0.223,0.593,13.4,71.1,0.256
2/27/2021,@,ORL,124,109,130.4,114.6,95.1,0.282,0.529,0.649,58.4,64.4,2.1,4.8,0.629,11.2,25,0.2,0.531,2.9,85.7,0.073
3/1/2021,@,NOP,124,129,119.7,124.5,103.6,0.178,0.426,0.569,42.4,56.5,10.6,8.6,0.54,6.8,20.4,0.149,0.603,11.3,73.7,0.196
3/3/2021,@,PHI,123,131,111.7,119,99.7,0.19,0.44,0.568,51,50,6.4,1.5,0.545,12.9,22.2,0.14,0.559,9.2,83.3,0.29
